Month,MviMilkYield
2016-10,27101.165048
2016-11,60722.135922
2016-12,69289.417475
2017-01,76512.718446
2017-02,67136.213592
2017-03,71391.844660
2017-04,64544.757281
2017-05,67276.504854
2017-06,63093.689320
2017-07,64932.912621
2017-08,65766.019417
2017-09,70503.495145
2017-10,68202.427184
2017-11,69071.359223
2017-12,78063.786407
2018-01,87106.019417
2018-02,83995.145631
2018-03,94388.834951
2018-04,86598.543689
2018-05,85898.737864
2018-06,77907.864077
2018-07,78983.592233
2018-08,79841.067961
2018-09,75747.281553
2018-10,70613.009708
2018-11,67172.524271
2018-12,84543.980582
2019-01,87213.203883
2019-02,81243.203883
2019-03,95920.582524
2019-04,90347.087378
2019-05,91916.504854
2019-06,84551.262135
2019-07,84524.563106
2019-08,88453.883495
2019-09,86557.669902
2019-10,89818.737864
2019-11,89390.679611
2019-12,94920.873786
2020-01,93154.174757
2020-02,93324.854368
2020-03,105890.679611
2020-04,105130.776699
2020-05,107864.951456
2020-06,97710.679611
2020-07,97597.281553
2020-08,97754.368932
2020-09,91755.922330
2020-10,93542.330097
2020-11,89793.300970
2020-12,96523.980582
2021-01,108015.922330
2021-02,99080.485436
2021-03,105726.601941
2021-04,105257.281553
2021-05,111060.970873
2021-06,98760.970873
2021-07,98824.174757
2021-08,92315.436893
2021-09,85032.815533
2021-10,90529.611650
2021-11,91106.796116
2021-12,106366.796116
2022-01,118338.640776
2022-02,109049.320388
2022-03,119608.834951
2022-04,122072.524271
2022-05,127774.077669
2022-06,116736.504854
2022-07,112688.349514
2022-08,105070.388349
2022-09,98646.310679
2022-10,103463.689320
2022-11,100059.029126
2022-12,110029.417475
2023-01,121251.067961
2023-02,119582.038834
2023-03,132889.029126
2023-04,124401.941747
2023-05,123963.300970
2023-06,111879.805825
2023-07,118704.077669
2023-08,112364.466019
2023-09,98777.087378
2023-10,107715.728155
2023-11,108330.776699
2023-12,115498.834951
2024-01,124408.155339
2024-02,123822.912621
2024-03,133707.378640
2024-04,129333.203883
2024-05,133033.980582
2024-06,126069.611650
2024-07,115747.475728
2024-08,100754.174757
2024-09,63025.533980
