"","AniLifeNumber","avg_daily_milk","milk_span_days","birth_year","... <- NULL","short_span_flag","cohort"
"1","FR3511030992",30.05,190,2018,34.460141446206,TRUE,"2016-2018"
"2","FR3511031000",8.6,0,2018,34.460141446206,TRUE,"2016-2018"
"3","FR3511031001",35.2666666666667,122,2018,34.460141446206,TRUE,"2016-2018"
"4","FR3511031005",18.3,0,2019,34.460141446206,TRUE,"post-2019"
"5","FR3526708960",22.3363636363636,733,2015,34.460141446206,FALSE,"pre-2016"
"6","FR3527660505",17.9,244,2014,34.460141446206,TRUE,"pre-2016"
"7","FR4124295420",13.8,483,2015,34.460141446206,FALSE,"pre-2016"
"8","FR4124295424",18.84,665,2015,34.460141446206,FALSE,"pre-2016"
"9","FR4124295428",17.15,63,2015,34.460141446206,TRUE,"pre-2016"
"10","FR4401541353",9.8,0,2010,34.460141446206,TRUE,"pre-2016"
"11","FR4401541370",14.65,63,2012,34.460141446206,TRUE,"pre-2016"
"12","FR4401541379",22.275,244,2012,34.460141446206,TRUE,"pre-2016"
"13","FR4401541380",18.3,123,2012,34.460141446206,TRUE,"pre-2016"
"14","FR4401541383",33.3111111111111,600,2013,34.460141446206,FALSE,"pre-2016"
"15","FR4401541384",16.1333333333333,121,2013,34.460141446206,TRUE,"pre-2016"
"16","FR4401541386",7.8,0,2013,34.460141446206,TRUE,"pre-2016"
"17","FR4401541390",22.775,483,2013,34.460141446206,FALSE,"pre-2016"
"18","FR4401541395",24.43,600,2013,34.460141446206,FALSE,"pre-2016"
"19","FR4401541402",26.33,733,2014,34.460141446206,FALSE,"pre-2016"
"20","FR4401541403",35.525,419,2014,34.460141446206,FALSE,"pre-2016"
"21","FR4401541407",29.3727272727273,665,2014,34.460141446206,FALSE,"pre-2016"
"22","FR4401541408",9.03333333333333,123,2014,34.460141446206,TRUE,"pre-2016"
"23","FR4401541409",33.6181818181818,733,2014,34.460141446206,FALSE,"pre-2016"
"24","FR4401541411",20.3,733,2014,34.460141446206,FALSE,"pre-2016"
"25","FR4401541412",18.8666666666667,543,2014,34.460141446206,FALSE,"pre-2016"
"26","FR4401541418",25.75,733,2014,34.460141446206,FALSE,"pre-2016"
"27","FR4401541419",26.125,733,2014,34.460141446206,FALSE,"pre-2016"
"28","FR4401541422",15.6,123,2015,34.460141446206,TRUE,"pre-2016"
"29","FR4401541423",14.3714285714286,483,2015,34.460141446206,FALSE,"pre-2016"
"30","FR4401541425",16.8571428571429,483,2015,34.460141446206,FALSE,"pre-2016"
"31","FR4401541426",19.12,242,2015,34.460141446206,TRUE,"pre-2016"
"32","FR4401541428",18.7,196,2015,34.460141446206,TRUE,"pre-2016"
"33","FR4401541429",7.2,0,2015,34.460141446206,TRUE,"pre-2016"
"34","FR4401541431",32.2916666666667,733,2015,34.460141446206,FALSE,"pre-2016"
"35","FR4401541432",27.5363636363636,733,2015,34.460141446206,FALSE,"pre-2016"
"36","FR4401541434",25.2,63,2015,34.460141446206,TRUE,"pre-2016"
"37","FR4401541438",7.1,0,2015,34.460141446206,TRUE,"pre-2016"
"38","FR4401541439",23.1555555555556,600,2015,34.460141446206,FALSE,"pre-2016"
"39","FR4401541440",19.73,665,2015,34.460141446206,FALSE,"pre-2016"
"40","FR4401541441",26.9090909090909,733,2015,34.460141446206,FALSE,"pre-2016"
"41","FR4401541442",25.3454545454545,733,2015,34.460141446206,FALSE,"pre-2016"
"42","FR4401541443",17.7,420,2015,34.460141446206,FALSE,"pre-2016"
"43","FR4401541444",18.0666666666667,305,2016,34.460141446206,FALSE,"2016-2018"
"44","FR4401541445",30.29,600,2016,34.460141446206,FALSE,"2016-2018"
"45","FR4401541446",26.4909090909091,733,2016,34.460141446206,FALSE,"2016-2018"
"46","FR4401541447",25.9416666666667,733,2016,34.460141446206,FALSE,"2016-2018"
"47","FR4401541449",12.0666666666667,123,2016,34.460141446206,TRUE,"2016-2018"
"48","FR4401541450",34.0285714285714,419,2016,34.460141446206,FALSE,"2016-2018"
"49","FR4401541452",26.1571428571429,483,2016,34.460141446206,FALSE,"2016-2018"
"50","FR4401541453",25.3,0,2016,34.460141446206,TRUE,"2016-2018"
"51","FR4401541454",30.0333333333333,733,2016,34.460141446206,FALSE,"2016-2018"
"52","FR4401541456",26.8363636363636,733,2016,34.460141446206,FALSE,"2016-2018"
"53","FR4401541457",23.27,600,2016,34.460141446206,FALSE,"2016-2018"
"54","FR4401541459",19.3272727272727,733,2016,34.460141446206,FALSE,"2016-2018"
"55","FR4401541460",15.6,133,2016,34.460141446206,TRUE,"2016-2018"
"56","FR4401541462",23.65,733,2016,34.460141446206,FALSE,"2016-2018"
"57","FR4401541463",18.375,600,2016,34.460141446206,FALSE,"2016-2018"
"58","FR4401541464",20.81,602,2016,34.460141446206,FALSE,"2016-2018"
"59","FR4401541465",14.3,0,2016,34.460141446206,TRUE,"2016-2018"
"60","FR4401541466",24.1090909090909,670,2016,34.460141446206,FALSE,"2016-2018"
"61","FR4401541467",23.95,733,2016,34.460141446206,FALSE,"2016-2018"
"62","FR4401541469",22.9571428571429,365,2017,34.460141446206,FALSE,"2016-2018"
"63","FR4401541471",28.01,733,2017,34.460141446206,FALSE,"2016-2018"
