AniLifeNumber,AniBirthday,age_at_exit,exit_date,exit_code,slaughter_date,weight,birth_year,cohort,endmilk_to_exit_days,selling_price,classification,category,price_per_kg,fattened,MviWeight,LastMilkingDate
FR4404288111,2012-07-31,76,2018-12-03,B,2018-12-04,377.3,2012,pre-2016,88,935.7,O-3,VL,2.479989398,TRUE,694,2018-09-06
FR4404288069,2010-12-16,97,2019-02-04,B,2019-02-04,415.7,2010,pre-2016,163,1093.29,O-3,VL,2.629997594,TRUE,713,2018-08-25
FR4404288105,2012-04-11,81,2019-02-04,B,2019-02-04,415.9,2012,pre-2016,72,1093.82,O-3,VL,2.630007213,TRUE,794,2018-11-24
FR4404288156,2014-05-05,56,2019-02-04,B,2019-02-04,353.4,2014,pre-2016,74,929.44,O-3,VL,2.629994341,TRUE,658,2018-11-22
FR4404288168,2014-08-20,53,2019-02-04,B,2019-02-04,394.4,2014,pre-2016,74,1037.27,O-3,VL,2.629994929,TRUE,761,2018-11-22
FR4404288190,2015-01-03,49,2019-02-04,B,2019-02-04,390.6,2015,pre-2016,122,1027.28,O-3,VL,2.63000512,TRUE,694,2018-10-05
FR4404288165,2014-06-27,56,2019-03-05,B,2019-03-06,348.9,2014,pre-2016,0,924.58,O-3,VL,2.649985669,FALSE,797,2019-03-05
FR4404288137,2013-09-14,68,2019-06-03,B,2019-06-04,403.2,2013,pre-2016,159,1149.12,O-3,VL,2.85,TRUE,815,2018-12-26
FR4404288158,2014-05-09,62,2019-07-29,B,2019-07-29,355,2014,pre-2016,174,1011.75,O-3,VL,2.85,TRUE,654,2019-02-05
FR4404288163,2014-06-16,61,2019-07-29,B,2019-07-29,407.1,2014,pre-2016,174,1160.24,O-3,VL,2.850012282,TRUE,735,2019-02-05
FR4404288169,2014-08-22,59,2019-07-29,B,2019-07-29,385.3,2014,pre-2016,151,1098.11,O-3,VL,2.850012977,TRUE,712,2019-02-28
FR4958880509,2015-08-23,47,2019-07-29,B,2019-07-29,356.7,2015,pre-2016,151,991.63,O-3,VL,2.780011214,TRUE,616,2019-02-28
FR4404658938,2013-06-22,74,2019-09-02,B,2019-09-02,397.9,2013,pre-2016,108,1094.22,O-3,VL,2.749987434,TRUE,759,2019-05-17
FR4935590346,2012-09-06,83,2019-09-02,B,2019-09-02,405.5,2012,pre-2016,186,1115.13,O-3,VL,2.75001233,TRUE,749,2019-02-28
FR4945368325,2012-05-25,87,2019-09-02,B,2019-09-02,363.8,2012,pre-2016,186,1000.45,O-3,VL,2.75,TRUE,629,2019-02-28
FR4958880363,2012-09-27,87,2019-12-31,E,2020-01-02,349.5,2012,pre-2016,169,880.74,O-3,VL,2.52,TRUE,670,2019-07-15
FR4404288028,2009-05-19,131,2020-04-20,B,2020-04-20,326.9,2009,pre-2016,88,843.4,O-3,VL,2.579993882,TRUE,839,2020-01-23
FR4404288178,2014-10-22,65,2020-04-20,B,2020-04-20,355.2,2014,pre-2016,172,909.31,O-3,VL,2.559994369,TRUE,610,2019-10-31
FR4404288213,2015-10-14,54,2020-04-20,B,2020-04-20,345.6,2015,pre-2016,88,884.74,O-3,VL,2.560011574,TRUE,663,2020-01-23
