"","DisId","DisDcaId","DisName","DisCurePeriod","DisDescription","DiaAniId","DiaDate","DiaRemarks","DiaWithMilk","DiaWithMeat","AniId","AniLifeNumber"
"1",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",2,2016-05-24,"Mammite (cl.) inconnue - ",2016-05-30 16:53:00,2016-06-25 16:53:00,2,"NL1235469870"
"2",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",33,2016-10-22,"Mammite (cl.) inconnue - du 02/09/2016",2016-10-30 22:31:00,2016-11-01 08:00:00,33,"FR4404288106"
"3",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",111,2016-10-27,"Mammite (cl.) inconnue - ",NA,NA,111,"FR4404658938"
"4",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",112,2016-10-30,"Mammite (cl.) autre - ubrolexin cond 94 pas de cellules",NA,NA,112,"FR4947438444"
"5",45,4,"Digital phlegmon",28,"panaritium; digital inflammatory edema",75,2016-10-31,"",2016-11-11 09:40:00,2017-01-09 09:40:00,75,"FR4404288157"
"6",35,4,"Claw diseases",28,"",53,2016-10-31,"Blessure de patte - parrage",NA,NA,53,"FR4404288133"
"7",35,4,"Claw diseases",28,"",21,2016-10-31,"Autres problèmes de boîteries - limaces",NA,NA,21,"FR4404288083"
"8",35,4,"Claw diseases",28,"",21,2016-10-31,"Autres problèmes de boîteries - limaces",NA,NA,21,"FR4404288083"
"9",35,4,"Claw diseases",28,"",21,2016-10-31,"Blessure de patte - pansmant",NA,NA,21,"FR4404288083"
"10",59,2,"Teat end hyperkeratosis",NA,"",5,2016-11-05,"Blessure traumatique  de trayon - ",2016-11-16 12:04:00,2017-01-14 12:04:00,5,"FR4404288029"
"11",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",9,2016-11-07,"Mammite (cl.) inconnue - ",2016-11-14 14:59:00,2016-11-19 14:59:00,9,"FR4404288050"
"12",59,2,"Teat end hyperkeratosis",NA,"",5,2016-11-12,"Blessure traumatique  de trayon - sterilisation Lotagen ",NA,NA,5,"FR4404288029"
"13",160,6,"Diarrhea",21,"",77,2016-11-21,"Diarrhée - Véto : Dreinchage + Histacline",2016-11-29 15:44:00,2016-12-26 15:44:00,77,"FR4404288159"
"14",85,3,"Diseases related to calving",NA,"",209,2016-11-29,"Problème de délivrance inconnu - ",2016-12-05 10:00:00,2016-12-15 10:00:00,209,"FR4404659023"
"15",85,3,"Diseases related to calving",NA,"",209,2016-11-29,"Problème de délivrance inconnu - ",NA,NA,209,"FR4404659023"
"16",85,3,"Diseases related to calving",NA,"",209,2016-12-05,"Autre problème de délivrance - infection 'metrite'",2016-12-11 19:21:00,2016-12-23 19:21:00,209,"FR4404659023"
"17",45,4,"Digital phlegmon",28,"panaritium; digital inflammatory edema",79,2016-12-09,"",2016-12-12 10:01:00,2017-01-09 10:01:00,79,"FR4404288162"
"18",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",5,2016-12-12,"Mammite (sub.) inconnue - ",2016-12-19 14:00:00,2016-12-29 14:00:00,5,"FR4404288029"
"19",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",5,2016-12-16,"Mammite (sub.) inconnue - ",2016-12-24 07:25:00,2016-12-29 07:25:00,5,"FR4404288029"
"20",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",5,2016-12-17,"Mammite (cl.) inconnue - ",2017-04-07 10:25:00,2017-01-17 10:25:00,5,"FR4404288029"
"21",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",5,2016-12-17,"Mammite (cl.) inconnue - ",2017-04-07 16:02:00,2017-01-17 16:02:00,5,"FR4404288029"
"22",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",101,2016-12-23,"Mammite (cl.) inconnue - ",2016-12-28 12:01:00,2017-01-24 12:01:00,101,"FR4404288185"
"23",161,11,"Diagnosis not listed in the key",21,"",5,2016-12-24,"Autres maladies - T°39.8. Quartier infecté
",2017-01-04 20:01:00,2017-02-25 10:11:00,5,"FR4404288029"
"24",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",29,2016-12-28,"Mammite (cl.) inconnue - 
Perfusion Clor de sod 7.2% 3l.",2018-01-21 12:32:00,2018-01-24 12:32:00,29,"FR4404288100"
"25",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",84,2016-12-29,"Mammite (sub.) inconnue - ",2017-01-04 17:34:00,2017-01-30 17:34:00,84,"FR4404288167"
"26",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",29,2016-12-30,"Mammite (sub.) inconnue - ",2017-01-06 07:49:00,2017-01-16 07:49:00,29,"FR4404288100"
"27",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",47,2016-12-30,"Mammite (sub.) inconnue - ",2017-01-06 15:57:00,2017-01-11 15:57:00,47,"FR4404288127"
"28",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",84,2017-01-01,"Mammite (cl.) inconnue - ",2017-01-08 19:02:00,2017-01-13 19:02:00,84,"FR4404288167"
"29",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",29,2017-01-01,"Mammite (cl.) inconnue - ",2017-01-08 19:07:00,2017-01-13 19:07:00,29,"FR4404288100"
"30",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",116,2017-01-01,"Mammite (cl.) inconnue - ",2017-01-08 19:09:00,2017-01-13 19:09:00,116,"FR4912264927"
"31",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",116,2017-01-02,"Mammite (cl.) inconnue - ",2017-01-10 19:28:00,2017-02-02 19:28:00,116,"FR4912264927"
"32",35,4,"Claw diseases",28,"",57,2017-01-07,"Autres problèmes de boîteries - Fourchet",2017-01-10 10:59:00,2017-02-07 10:59:00,57,"FR4404288138"
"33",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",8,2017-01-13,"Mammite (cl.) inconnue - ",2017-01-20 08:28:00,2017-01-25 08:28:00,8,"FR4404288045"
"34",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",116,2017-01-14,"Mammite (cl.) inconnue - 2 ème traitement",2017-01-21 18:11:00,2017-01-26 18:11:00,116,"FR4912264927"
