"","DisId","DisDcaId","DisName","DisCurePeriod","DisDescription","DiaAniId","DiaDate","DiaRemarks","DiaWithMilk","DiaWithMeat","AniId","AniLifeNumber"
"1",186,9,"Drying-off",NA,"",20,2016-10-05 14:57:00,"Preventive - ",2016-11-20 14:57:00,NA,20,"FR4404288082"
"2",186,9,"Drying-off",NA,"",38,2016-10-05 15:02:00,"Preventive - ",2016-11-27 15:02:00,NA,38,"FR4404288112"
"3",186,9,"Drying-off",NA,"",49,2016-10-05 15:02:00,"Preventive - ",2016-11-27 15:02:00,NA,49,"FR4404288129"
"4",186,9,"Drying-off",NA,"",114,2016-10-05 15:02:00,"Preventive - ",2016-11-11 15:02:00,2016-10-15 15:02:00,114,"FR4454691593"
"5",186,9,"Drying-off",NA,"",12,2016-10-05 15:02:00,"Preventive - ",2016-11-11 15:02:00,2016-10-15 15:02:00,12,"FR4404288068"
"6",186,9,"Drying-off",NA,"",14,2016-10-05 15:02:00,"Preventive - ",2016-11-11 15:02:00,2016-10-15 15:02:00,14,"FR4404288073"
"7",186,9,"Drying-off",NA,"",26,2016-10-15 15:43:00,"Preventive - ",2016-11-21 15:43:00,2016-10-25 15:43:00,26,"FR4404288097"
"8",186,9,"Drying-off",NA,"",32,2016-10-15 15:43:00,"Preventive - ",2016-11-21 15:43:00,2016-10-25 15:43:00,32,"FR4404288105"
"9",186,9,"Drying-off",NA,"",17,2016-10-15 15:45:00,"Preventive - ",2016-12-02 15:45:00,NA,17,"FR4404288079"
"10",186,9,"Drying-off",NA,"",47,2016-10-15 15:45:00,"Preventive - ",2016-12-02 15:45:00,NA,47,"FR4404288127"
"11",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",33,2016-10-22 00:00:00,"Mammite (cl.) inconnue - du 02/09/2016",2016-10-30 22:31:00,2016-11-01 08:00:00,33,"FR4404288106"
"12",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",111,2016-10-27 00:00:00,"Mammite (cl.) inconnue - ",NA,NA,111,"FR4404658938"
"13",186,9,"Drying-off",NA,"",42,2016-10-28 09:59:00,"Preventive - ",2016-12-13 09:59:00,NA,42,"FR4404288120"
"14",186,9,"Drying-off",NA,"",41,2016-10-28 10:00:00,"Preventive - ",2016-12-04 10:00:00,2016-11-07 10:00:00,41,"FR4404288116"
"15",186,9,"Drying-off",NA,"",54,2016-10-28 10:00:00,"Preventive - ",2016-12-13 10:00:00,NA,54,"FR4404288134"
"16",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",112,2016-10-30 00:00:00,"Mammite (cl.) autre - ubrolexin cond 94 pas de cellules",NA,NA,112,"FR4947438444"
"17",45,4,"Digital phlegmon",28,"panaritium; digital inflammatory edema",75,2016-10-31 00:00:00,"",2016-11-11 09:40:00,2017-01-09 09:40:00,75,"FR4404288157"
"18",35,4,"Claw diseases",28,"",53,2016-10-31 00:00:00,"Blessure de patte - parrage",NA,NA,53,"FR4404288133"
"19",35,4,"Claw diseases",28,"",21,2016-10-31 00:00:00,"Autres problèmes de boîteries - limaces",NA,NA,21,"FR4404288083"
"20",35,4,"Claw diseases",28,"",21,2016-10-31 00:00:00,"Autres problèmes de boîteries - limaces",NA,NA,21,"FR4404288083"
"21",35,4,"Claw diseases",28,"",21,2016-10-31 00:00:00,"Blessure de patte - pansmant",NA,NA,21,"FR4404288083"
"22",59,2,"Teat end hyperkeratosis",NA,"",5,2016-11-05 00:00:00,"Blessure traumatique  de trayon - ",2016-11-16 12:04:00,2017-01-14 12:04:00,5,"FR4404288029"
"23",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",9,2016-11-07 00:00:00,"Mammite (cl.) inconnue - ",2016-11-14 14:59:00,2016-11-19 14:59:00,9,"FR4404288050"
"24",186,9,"Drying-off",NA,"",55,2016-11-07 15:04:00,"Preventive - ",2016-12-23 15:04:00,NA,55,"FR4404288136"
"25",186,9,"Drying-off",NA,"",56,2016-11-07 15:06:00,"Preventive - ",2016-12-23 15:06:00,NA,56,"FR4404288137"
"26",186,9,"Drying-off",NA,"",9,2016-11-12 12:20:00,"Preventive - ",2016-12-19 12:20:00,2016-11-22 12:20:00,9,"FR4404288050"
"27",59,2,"Teat end hyperkeratosis",NA,"",5,2016-11-12 00:00:00,"Blessure traumatique  de trayon - sterilisation Lotagen ",NA,NA,5,"FR4404288029"
"28",160,6,"Diarrhea",21,"",77,2016-11-21 00:00:00,"Diarrhée - Véto : Dreinchage + Histacline",2016-11-29 15:44:00,2016-12-26 15:44:00,77,"FR4404288159"
"29",85,3,"Diseases related to calving",NA,"",209,2016-11-29 00:00:00,"Problème de délivrance inconnu - ",2016-12-05 10:00:00,2016-12-15 10:00:00,209,"FR4404659023"
"30",85,3,"Diseases related to calving",NA,"",209,2016-11-29 00:00:00,"Problème de délivrance inconnu - ",NA,NA,209,"FR4404659023"
"31",186,9,"Drying-off",NA,"",51,2016-12-02 23:17:00,"Preventive - ",2017-01-17 23:17:00,NA,51,"FR4404288131"
"32",186,9,"Drying-off",NA,"",53,2016-12-02 23:17:00,"Preventive - ",2017-01-08 23:17:00,2016-12-12 23:17:00,53,"FR4404288133"
"33",186,9,"Drying-off",NA,"",7,2016-12-02 23:19:00,"Preventive - ",2017-01-17 23:19:00,NA,7,"FR4404288040"
"34",186,9,"Drying-off",NA,"",40,2016-12-02 23:19:00,"Preventive - ",2017-01-17 23:19:00,NA,40,"FR4404288115"
"35",186,9,"Drying-off",NA,"",112,2016-12-02 07:55:00,"Preventive - ",2017-01-08 07:55:00,2016-12-12 07:55:00,112,"FR4947438444"
"36",85,3,"Diseases related to calving",NA,"",209,2016-12-05 00:00:00,"Autre problème de délivrance - infection 'metrite'",2016-12-11 19:21:00,2016-12-23 19:21:00,209,"FR4404659023"
"37",45,4,"Digital phlegmon",28,"panaritium; digital inflammatory edema",79,2016-12-09 00:00:00,"",2016-12-12 10:01:00,2017-01-09 10:01:00,79,"FR4404288162"
"38",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",5,2016-12-12 00:00:00,"Mammite (sub.) inconnue - ",2016-12-19 14:00:00,2016-12-29 14:00:00,5,"FR4404288029"
"39",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",5,2016-12-16 00:00:00,"Mammite (sub.) inconnue - ",2016-12-24 07:25:00,2016-12-29 07:25:00,5,"FR4404288029"
"40",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",5,2016-12-17 00:00:00,"Mammite (cl.) inconnue - ",2017-04-07 10:25:00,2017-01-17 10:25:00,5,"FR4404288029"
"41",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",5,2016-12-17 00:00:00,"Mammite (cl.) inconnue - ",2017-04-07 16:02:00,2017-01-17 16:02:00,5,"FR4404288029"
"42",186,9,"Drying-off",NA,"",61,2016-12-17 16:03:00,"Preventive - ",2017-01-23 16:03:00,2016-12-27 16:03:00,61,"FR4404288142"
"43",186,9,"Drying-off",NA,"",117,2016-12-17 16:03:00,"Preventive - ",2017-02-01 16:03:00,NA,117,"FR4935590346"
"44",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",101,2016-12-23 00:00:00,"Mammite (cl.) inconnue - ",2016-12-28 12:01:00,2017-01-24 12:01:00,101,"FR4404288185"
"45",161,11,"Diagnosis not listed in the key",21,"",5,2016-12-24 00:00:00,"Autres maladies - T°39.8. Quartier infecté
",2017-01-04 20:01:00,2017-02-25 10:11:00,5,"FR4404288029"
"46",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",29,2016-12-28 00:00:00,"Mammite (cl.) inconnue - 
Perfusion Clor de sod 7.2% 3l.",2018-01-21 12:32:00,2018-01-24 12:32:00,29,"FR4404288100"
"47",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",84,2016-12-29 00:00:00,"Mammite (sub.) inconnue - ",2017-01-04 17:34:00,2017-01-30 17:34:00,84,"FR4404288167"
"48",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",29,2016-12-30 00:00:00,"Mammite (sub.) inconnue - ",2017-01-06 07:49:00,2017-01-16 07:49:00,29,"FR4404288100"
"49",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",47,2016-12-30 00:00:00,"Mammite (sub.) inconnue - ",2017-01-06 15:57:00,2017-01-11 15:57:00,47,"FR4404288127"
"50",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",84,2017-01-01 00:00:00,"Mammite (cl.) inconnue - ",2017-01-08 19:02:00,2017-01-13 19:02:00,84,"FR4404288167"
"51",66,1,"Mastitis catarrhalis acuta (acute catarrhal mastitis)",14,"",29,2017-01-01 00:00:00,"Mammite (cl.) inconnue - ",2017-01-08 19:07:00,2017-01-13 19:07:00,29,"FR4404288100"
