"","Month","sum(MonthlyMilkYield_Liters)"
"1",2016-10-31,27561.939282
"2",2016-11-30,61168.185593
"3",2016-12-31,70231.014904
"4",2017-01-31,76987.961315
"5",2017-02-28,67335.021116
"6",2017-03-31,71503.598593
"7",2017-04-30,64807.171609
"8",2017-05-31,66497.897919
"9",2017-06-30,62359.114617
"10",2017-07-31,65477.168112
"11",2017-08-31,66402.835874
"12",2017-09-30,72295.84432
"13",2017-10-31,73367.689763
"14",2017-11-30,71875.374033
"15",2017-12-31,81050.49015
"16",2018-01-31,90459.676745
"17",2018-02-28,85310.219179
"18",2018-03-31,93017.3204299999
"19",2018-04-30,88902.279364
"20",2018-05-31,87743.937715
"21",2018-06-30,77549.302186
"22",2018-07-31,82854.992963
"23",2018-08-31,86270.243348
"24",2018-09-30,80532.257718
"25",2018-10-31,71052.216843
"26",2018-11-30,71141.692477
"27",2018-12-31,87675.597323
"28",2019-01-31,86892.662281
"29",2019-02-28,84239.6772269999
"30",2019-03-31,96004.558877
"31",2019-04-30,92005.342662
"32",2019-05-31,90545.893636
"33",2019-06-30,86826.928876
"34",2019-07-31,83366.149267
"35",2019-08-31,90937.035284
"36",2019-09-30,86437.742478
"37",2019-10-31,92180.6627570001
"38",2019-11-30,88964.1022779999
"39",2019-12-31,97751.428588
"40",2020-01-31,94614.3813000001
"41",2020-02-29,99149.520186
"42",2020-03-31,106855.411105
"43",2020-04-30,109805.592998
"44",2020-05-31,106049.8511
"45",2020-06-30,102856.939699
"46",2020-07-31,97006.760427
"47",2020-08-31,99842.514112
"48",2020-09-30,93908.352405
"49",2020-10-31,98387.441047
"50",2020-11-30,89793.30092
"51",2020-12-31,96523.980531
"52",2021-01-31,108015.922272
"53",2021-02-28,99080.485374
"54",2021-03-31,105726.601882
"55",2021-04-30,105257.281499
"56",2021-05-31,111042.71839
"57",2021-06-30,98779.223239
"58",2021-07-31,98813.78635
"59",2021-08-31,92325.825187
"60",2021-09-30,85032.815479
"61",2021-10-31,90529.611604
"62",2021-11-30,91106.796065
"63",2021-12-31,106366.796061
"64",2022-01-31,118338.64072
"65",2022-02-28,109049.320326
"66",2022-03-31,119608.834896
"67",2022-04-30,122072.524216
"68",2022-05-31,127774.077612
"69",2022-06-30,116736.504795
"70",2022-07-31,112688.349451
"71",2022-08-31,105070.38829
"72",2022-09-30,98646.310622
"73",2022-10-31,103463.689268
"74",2022-11-30,100059.029068
"75",2022-12-31,110029.417421
"76",2023-01-31,121251.067902
"77",2023-02-28,119582.038773
"78",2023-03-31,132889.029063
"79",2023-04-30,124401.941683
"80",2023-05-31,123963.300911
"81",2023-06-30,111879.805765
"82",2023-07-31,118704.077612
"83",2023-08-31,112364.465957
"84",2023-09-30,98777.087312
"85",2023-10-31,107715.728095
"86",2023-11-30,108330.776644
"87",2023-12-31,115498.8349
"88",2024-01-31,124408.155281
"89",2024-02-29,123822.91256
"90",2024-03-31,133707.378575
"91",2024-04-30,129333.203818
"92",2024-05-31,133033.980523
"93",2024-06-30,126069.611591
"94",2024-07-31,115747.475668
"95",2024-08-31,100754.174701
