"","InsId","InsNumber","InsDate","InsSirId","InsChargeNumber","InsSequenceNumber","InsLacId","InsConId","InsRemarks","AniLifeNumber","AniBirthday","AniKeep","AniGenId","AniActive","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacAniId","LacRemarks","LacColostrumDate","PreDate","PreRemark","successful_insem"
"1",1,1,2015-11-23,NA,NA,0,191,NA,"","FR4404288029",2009-05-24,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2",2,2,2015-12-26,NA,NA,0,191,NA,"","FR4404288029",2009-05-24,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"3",3,3,2016-01-21,NA,NA,0,191,NA,"","FR4404288029",2009-05-24,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-21,NA,TRUE
"4",4,1,2016-04-19,NA,NA,0,200,NA,"","FR4404288040",2009-10-10,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-10-13,NA,TRUE
"5",5,1,2016-06-21,NA,NA,0,203,NA,"","FR4404288045",2009-12-26,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"6",6,1,2016-04-04,NA,NA,0,207,NA,"","FR4404288050",2010-02-15,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-10-13,NA,TRUE
"7",7,1,2016-02-17,NA,NA,0,211,NA,"","FR4404288059",2010-05-31,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"8",8,1,2015-11-17,NA,NA,0,215,NA,"","FR4404288063",2010-07-06,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"9",9,1,2016-02-13,NA,NA,0,219,NA,"","FR4404288068",2010-11-13,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-21,NA,TRUE
"10",10,1,2015-10-31,NA,NA,0,222,NA,"","FR4404288069",2010-12-16,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"11",11,1,2016-03-21,NA,NA,0,225,NA,"","FR4404288073",2011-02-07,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-21,NA,TRUE
"12",12,1,2015-11-02,NA,NA,0,228,NA,"","FR4404288075",2011-04-16,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"13",13,2,2015-11-25,NA,NA,0,228,NA,"","FR4404288075",2011-04-16,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"14",14,1,2016-01-28,NA,NA,0,231,NA,"","FR4404288078",2011-06-05,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"15",15,2,2016-02-17,NA,NA,0,231,NA,"","FR4404288078",2011-06-05,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"16",16,3,2016-03-10,NA,NA,0,231,NA,"","FR4404288078",2011-06-05,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"17",17,1,2015-10-28,NA,NA,0,234,NA,"","FR4404288079",2011-06-18,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"18",18,2,2015-11-20,NA,NA,0,234,NA,"","FR4404288079",2011-06-18,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"19",19,3,2016-02-10,NA,NA,0,234,NA,"","FR4404288079",2011-06-18,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"20",20,4,2016-04-12,NA,NA,0,234,NA,"","FR4404288079",2011-06-18,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-10-13,NA,TRUE
"21",21,1,2016-01-07,NA,NA,0,237,NA,"","FR4404288080",2011-07-01,TRUE,2,FALSE,"FR 4404288024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"22",22,2,2016-01-28,NA,NA,0,237,NA,"","FR4404288080",2011-07-01,TRUE,2,FALSE,"FR 4404288024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-21,NA,TRUE
"23",23,1,2016-02-17,NA,NA,0,243,NA,"","FR4404288082",2011-07-13,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-21,NA,TRUE
"24",24,1,2015-12-14,NA,NA,0,246,NA,"","FR4404288083",2011-07-15,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"25",25,1,2015-12-19,NA,NA,0,251,NA,"","FR4404288088",2011-10-01,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"26",26,1,2015-10-30,NA,NA,0,253,NA,"","FR4404288092",2011-12-06,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
