"","InsId","InsSirId","InsNumber","InsRemarks","InsDate","InsLacId","AniId","AniLifeNumber","AniBirthday","AniGenId","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacRemarks","LacColostrumDate","dry_off_date","dry_off_interval","AniActive","category","customer_id","date","entry_code","entry_date","exit_code","exit_date","month","year"
"1",199,NA,1,"",2016-08-17,181,3,"FR4404288019",2008-11-28,2,"FR 4404281402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",476,NA,1,"",2017-07-25,516,3,"FR4404288019",2008-11-28,2,"FR 4404281402",7,2,2017-05-20,"",2017-05-27,2018-05-06,49,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"B",2020-12-28,1,2015
"3",510,NA,2,"",2017-08-29,516,3,"FR4404288019",2008-11-28,2,"FR 4404281402",7,2,2017-05-20,"",2017-05-27,2018-05-06,49,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"B",2020-12-28,1,2015
"4",1523,NA,3,"",2017-09-25,516,3,"FR4404288019",2008-11-28,2,"FR 4404281402",7,2,2017-05-20,"",2017-05-27,2018-05-06,49,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"B",2020-12-28,1,2015
"5",1890,NA,1,"",2018-10-25,727,3,"FR4404288019",2008-11-28,2,"FR 4404281402",8,3,2018-06-24,"",2018-07-01,2019-07-15,64,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"B",2020-12-28,1,2015
"6",1936,NA,2,"",2018-12-12,727,3,"FR4404288019",2008-11-28,2,"FR 4404281402",8,3,2018-06-24,"",2018-07-01,2019-07-15,64,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"B",2020-12-28,1,2015
"7",1929,NA,1,"",2018-12-10,785,4,"FR4404288028",2009-05-19,2,"",8,3,2018-10-17,"",2018-10-24,2019-07-15,56,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2009-05-19,"B",2020-04-20,1,2015
"8",1585,NA,1,"",2017-11-16,595,4,"FR4404288028",2009-05-19,2,"",7,2,2017-09-05,"",2017-09-12,2018-08-22,56,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2009-05-19,"B",2020-04-20,1,2015
"9",1642,NA,2,"",2018-01-10,595,4,"FR4404288028",2009-05-19,2,"",7,2,2017-09-05,"",2017-09-12,2018-08-22,56,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2009-05-19,"B",2020-04-20,1,2015
"10",223,NA,1,"",2016-10-01,187,4,"FR4404288028",2009-05-19,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",241,NA,2,"",2016-10-22,187,4,"FR4404288028",2009-05-19,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",289,NA,3,"",2016-12-01,187,4,"FR4404288028",2009-05-19,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,NA,1,"",2015-11-23,191,5,"FR4404288029",2009-05-24,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2,NA,2,"",2015-12-26,191,5,"FR4404288029",2009-05-24,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",3,NA,3,"",2016-01-21,191,5,"FR4404288029",2009-05-24,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4,NA,1,"",2016-04-19,200,7,"FR4404288040",2009-10-10,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",5,NA,1,"",2016-06-21,203,8,"FR4404288045",2009-12-26,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
