"","AniId","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacId","LacRemarks","LacColostrumDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","avg_daily_yield","early_lactation_yield","mid_lactation_yield","delta_early_mid_yield","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","AniLifeNumber","AniActive","AniGenId","AniBirthday","AniMotherLifeNumber","category","customer_id","date","entry_code","entry_date","exit_code","exit_date","month","year","still_milking","est_deliver_total_milk_L","est_deliver_avg_daily_yield","est_deliver_early_lactation_yield","est_deliver_mid_lactation_yield","est_deliver_delta_lactation_yield","age_at_calving","n_insem","first_pregnancy","n_insem_flag","n_failed_insem","last_lactation","calving_to_insem_days","n_failed_pregnancies","calving_interval_days","calving_interval_reason"
"1",18,4,1,2016-11-01,418,"ordon  610008232",2016-11-08,2016-11-02,2017-08-14,285,8234.271844,29.758947,952.038819,2177.864047,1225.825228,5.816783,3.660034,2017-08-14,68,"FR4404288080",FALSE,2,2011-07-01,"FR4404288024","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"M",2020-06-17,1,2015,FALSE,7896.666698396,28.538830173,913.005227421,2088.571621073,1175.566393652,64,2,FALSE,"recorded",1,FALSE,70,1,354,"recorded"
"2",5,5,1,2016-11-04,419,"",2016-11-11,2016-11-04,2018-01-02,424,9725.825242,23.626415,862.232996,1225.145598,362.912602,5.965966,3.660259,2018-01-02,NA,"FR4404288029",FALSE,2,2009-05-24,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2009-05-24,"B",2018-01-02,1,2015,FALSE,9327.066407078,22.657731985,826.881443164,1174.914628482,348.033185318,89,NA,FALSE,"unknown",NA,TRUE,NA,0,NA,"no subsequent calving"
"3",47,2,1,2016-11-13,422,"NULL",2016-11-20,2016-11-14,2017-09-20,310,8591.84466,28.547096,933.495131,2312.524243,1379.029112,2.983129,3.12129,2017-09-20,NA,"FR4404288127",FALSE,2,2012-12-30,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-10-01,"N",2012-12-30,"B",2017-09-20,10,2015,FALSE,8239.57902894,27.376665064,895.221830629,2217.710749037,1322.488918408,46,5,FALSE,"recorded",4,TRUE,51,3,NA,"no subsequent calving"
"4",207,1,1,2016-11-21,434,"pas lait quartier AR G",2016-11-28,2016-11-22,2018-02-13,448,12220.194174,28.095535,655.631054,1693.883467,1038.252413,4.036503,3.521937,2018-02-13,67,"FR4404659034",FALSE,2,2014-11-12,"FR4404658806","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-11-21,"A",2016-11-17,"B",2021-11-22,11,2016,FALSE,11719.166212866,26.943618065,628.750180786,1624.434244853,995.684064067,24,5,TRUE,"recorded",4,FALSE,73,4,516,"recorded"
"5",12,5,1,2016-11-21,435,"",2016-11-28,2016-11-22,2018-01-02,406,12428.640776,31.530788,1259.80581,2705.242687,1445.436877,4.013685,3.306707,2018-01-02,NA,"FR4404288068",FALSE,2,2010-11-13,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2010-11-13,"B",2018-01-02,1,2015,FALSE,11919.066504184,30.238025692,1208.15377179,2594.327736833,1386.173965043,72,4,FALSE,"recorded",3,TRUE,130,1,NA,"no subsequent calving"
"6",209,1,1,2016-11-26,440,"",2016-12-03,2016-11-27,2018-03-12,470,13742.524271,30.116595,826.990279,2441.844629,1614.85435,4.623121,3.455074,2018-03-12,63,"FR4404659023",FALSE,2,2014-09-29,"FR4404658759","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-11-26,"A",2016-11-17,"B",2023-11-22,11,2016,FALSE,13179.080775889,28.881814605,793.083677561,2341.728999211,1548.64532165,25,3,TRUE,"recorded",2,FALSE,161,1,534,"recorded"
"7",20,4,1,2016-11-28,441,"",2016-12-06,2016-11-29,2017-08-30,274,6419.2233,24.130656,804.368917,1563.398025,759.029108,3.959745,3.512509,2017-08-30,NA,"FR4404288082",FALSE,2,2011-07-13,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-07-13,"B",2017-08-30,1,2015,FALSE,6156.0351447,23.141299104,771.389791403,1499.298705975,727.908914572,64,NA,FALSE,"unknown",NA,TRUE,NA,0,NA,"no subsequent calving"
"8",101,1,1,2016-12-02,442,"",2016-12-09,2016-12-02,2017-09-18,290,6575.53398,23.354482,663.009694,1656.407734,993.39804,3.948109,3.415463,2017-09-18,55,"FR4404288185",FALSE,2,2014-12-10,"FR4404288078","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-02,"N",2014-12-10,"B",2024-03-04,12,2016,FALSE,6305.93708682,22.396948238,635.826296546,1588.495016906,952.66872036,23,1,TRUE,"recorded",0,FALSE,61,0,345,"recorded"
"9",85,1,1,2016-12-02,443,"Ord 706004044",2016-12-09,2016-12-02,2018-03-30,483,16151.359223,34.442857,1027.961152,2337.4757,1309.514548,4.613347,3.019483,2018-03-30,47,"FR4404288168",FALSE,2,2014-08-20,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-02,"N",2014-08-20,"B",2019-02-04,12,2016,FALSE,15489.153494857,33.030699863,985.814744768,2241.6391963,1255.824451532,27,4,TRUE,"recorded",3,FALSE,155,2,530,"recorded"
"10",26,3,1,2016-12-01,445,"",2016-12-08,2016-12-02,2017-10-11,313,8134.757281,26.769329,756.310664,1856.019388,1099.708724,4.571401,3.458216,2017-10-11,91,"FR4404288097",FALSE,2,2012-01-13,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-01-13,"B",2019-07-29,1,2015,FALSE,7801.232232479,25.671786511,725.301926776,1779.922593092,1054.620666316,58,1,FALSE,"recorded",0,FALSE,125,0,405,"recorded"
"11",80,1,1,2016-12-03,447,"Orbeseal ARg trayon sphinctere abimé suite ancienne blessure",2016-12-10,2016-12-04,2018-01-23,415,10950.679611,27.178795,846.601928,2124.174728,1277.5728,4.220793,3.312355,2018-01-23,47,"FR4404288163",FALSE,2,2014-06-16,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-03,"N",2014-06-16,"B",2019-07-29,12,2016,FALSE,10501.701746949,26.064464405,811.891248952,2037.083564152,1225.1923152,29,3,TRUE,"recorded",2,FALSE,66,1,462,"recorded"
"12",114,3,1,2016-12-03,449,"Ord 706004044",2016-12-10,2016-12-04,2017-10-19,319,11380.873786,36.747021,1169.320374,2718.058227,1548.737853,4.171125,3.486093,2017-10-19,46,"FR4454691593",FALSE,2,2012-09-15,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"A",2014-10-01,"B",2019-07-29,1,2015,FALSE,10914.257960774,35.240393139,1121.378238666,2606.617839693,1485.239601027,50,1,FALSE,"recorded",0,FALSE,84,0,365,"recorded"
"13",84,1,1,2016-12-07,451,"ord 706004044",2016-12-11,2016-12-07,2017-10-19,316,9250.097087,30.150632,646.407753,2014.854338,1368.446585,3.721451,3.401608,2017-10-19,52,"FR4404288167",FALSE,2,2014-08-19,"FR4404288112","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-06,"N",2014-08-19,"B",2022-05-09,12,2016,FALSE,8870.843106433,28.914456088,619.905035127,1932.245310142,1312.340275015,27,2,TRUE,"recorded",1,FALSE,71,1,368,"recorded"
"14",96,1,1,2016-12-08,452,"",2016-12-13,2016-12-09,2017-09-18,283,6388.543689,23.25159,544.368919,1438.737834,894.368915,3.38345,3.198133,2017-09-18,57,"FR4404288180",TRUE,2,2014-11-03,"FR4404288088","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-05,"N",2014-11-03,"B",2025-03-17,12,2016,FALSE,6126.613397751,22.29827481,522.049793321,1379.749582806,857.699789485,25,1,TRUE,"recorded",0,FALSE,63,0,341,"recorded"
"15",208,1,1,2016-12-09,453,"",2016-12-16,2016-12-09,2017-09-18,283,7118.058252,25.906713,798.73785,1849.126185,1050.388335,4.572781,3.439823,2017-09-18,68,"FR4404658982",FALSE,2,2014-03-30,"FR4404658853","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-12-09,"A",2016-11-17,"E",2023-01-30,12,2016,FALSE,6826.217863668,24.844537767,765.98959815,1773.312011415,1007.322413265,32,1,TRUE,"recorded",0,FALSE,68,0,351,"recorded"
"16",193,2,1,2016-12-10,454,"Ordonnance: 701008251",2016-12-17,2016-12-10,2017-11-10,335,10315.728155,31.717014,1094.368918,2478.737837,1384.368919,4.445595,3.144583,2017-11-10,65,"FR4404288141",FALSE,2,2013-10-29,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-12-24,"N",2013-10-29,"B",2021-12-28,12,2015,FALSE,9892.783300645,30.416616426,1049.499792362,2377.109585683,1327.609793321,37,2,FALSE,"recorded",1,FALSE,91,1,400,"recorded"
