AniLifeNumber,Month,mdpMonthlyMilkYield_Liters
FR 4404288019,2016-10,336.674174
FR 4404288028,2016-10,354.085145
FR 4404288040,2016-10,312.931941
FR 4404288045,2016-10,409.949223
FR 4404288050,2016-10,375.313495
FR 4404288063,2016-10,558.454563
FR 4404288069,2016-10,492.534951
FR 4404288075,2016-10,565.623786
FR 4404288081,2016-10,472.703203
FR 4404288083,2016-10,490.114174
FR 4404288088,2016-10,566.554854
FR 4404288094,2016-10,417.025339
FR 4404288098,2016-10,525.494757
FR 4404288100,2016-10,488.438252
FR 4404288101,2016-10,247.291650
FR 4404288102,2016-10,498.959320
FR 4404288106,2016-10,410.880291
FR 4404288109,2016-10,556.685533
FR 4404288110,2016-10,473.261844
FR 4404288111,2016-10,495.514368
FR 4404288115,2016-10,349.150485
FR 4404288116,2016-10,86.682427
FR 4404288120,2016-10,322.708155
FR 4404288121,2016-10,623.163786
FR 4404288122,2016-10,336.115533
FR 4404288126,2016-10,546.630000
FR 4404288128,2016-10,340.305339
FR 4404288129,2016-10,168.243980
FR 4404288130,2016-10,560.223592
FR 4404288131,2016-10,210.700679
FR 4404288132,2016-10,439.836504
FR 4404288133,2016-10,190.217184
FR 4404288134,2016-10,229.322038
FR 4404288136,2016-10,238.912038
FR 4404288137,2016-10,299.617669
FR 4404288138,2016-10,405.759417
FR 4404288139,2016-10,400.545436
FR 4404288140,2016-10,384.717281
FR 4404288142,2016-10,246.453689
FR 4404288143,2016-10,400.079902
FR 4404288145,2016-10,388.720873
FR 4404288146,2016-10,353.805825
FR 4404288149,2016-10,397.938446
FR 4404288150,2016-10,415.628737
FR 4404288151,2016-10,344.029611
FR 4404288153,2016-10,306.414466
FR 4404288154,2016-10,381.086116
FR 4404288155,2016-10,452.405922
FR 4404288156,2016-10,382.575825
FR 4404288157,2016-10,394.772815
FR 4404288158,2016-10,417.677087
FR 4404288159,2016-10,82.865048
FR 4404288161,2016-10,375.779029
FR 4404288162,2016-10,395.145242
FR 4404288164,2016-10,427.732621
FR 4404288169,2016-10,46.739611
FR 4404658920,2016-10,495.328155
FR 4404658938,2016-10,433.691456
FR 4454691592,2016-10,470.096213
FR 4912264927,2016-10,355.667961
FR 4935590346,2016-10,274.571941
FR 4945368325,2016-10,352.223009
FR 4947438444,2016-10,194.779417
FR 4947438454,2016-10,209.583398
FR 4950954269,2016-10,484.993300
FR 4950954270,2016-10,349.522912
FR 4954667338,2016-10,345.426213
FR 4956691421,2016-10,366.561456
FR 4958880362,2016-10,452.219708
FR 4958880363,2016-10,387.417378
FR 4963097404,2016-10,632.567572
FR 4968695856,2016-10,366.095922
FR 4404288019,2016-11,749.044174
FR 4404288028,2016-11,796.342427
FR 4404288029,2016-11,719.622427
FR 4404288040,2016-11,811.518834
FR 4404288045,2016-11,819.153592
FR 4404288050,2016-11,331.832621
FR 4404288063,2016-11,1194.560194
FR 4404288068,2016-11,300.176310
FR 4404288069,2016-11,1008.905242
FR 4404288075,2016-11,1141.396213
FR 4404288080,2016-11,913.005242
FR 4404288081,2016-11,984.511262
FR 4404288082,2016-11,5.772621
FR 4404288083,2016-11,928.367864
FR 4404288088,2016-11,1208.991747
FR 4404288094,2016-11,960.955242
FR 4404288098,2016-11,1141.023786
FR 4404288100,2016-11,1047.079029
FR 4404288101,2016-11,1289.994660
FR 4404288102,2016-11,980.973203
FR 4404288106,2016-11,812.915436
FR 4404288109,2016-11,1133.109708
FR 4404288110,2016-11,1006.484466
FR 4404288111,2016-11,1150.800000
FR 4404288115,2016-11,724.929514
FR 4404288121,2016-11,1267.555922
FR 4404288122,2016-11,800.346019
FR 4404288126,2016-11,1190.277281
FR 4404288127,2016-11,448.216116
FR 4404288128,2016-11,848.016699
FR 4404288129,2016-11,578.658737
FR 4404288130,2016-11,1108.343300
FR 4404288131,2016-11,373.916893
FR 4404288132,2016-11,859.561941
FR 4404288133,2016-11,483.224271
FR 4404288136,2016-11,123.832038
FR 4404288137,2016-11,160.423009
FR 4404288138,2016-11,1339.341262
FR 4404288139,2016-11,802.953009
FR 4404288140,2016-11,697.742330
FR 4404288142,2016-11,455.943980
FR 4404288143,2016-11,930.416213
FR 4404288145,2016-11,811.053300
FR 4404288146,2016-11,775.393398
FR 4404288149,2016-11,904.718737
FR 4404288150,2016-11,895.966699
FR 4404288151,2016-11,743.737087
FR 4404288153,2016-11,665.061844
FR 4404288154,2016-11,829.395339
FR 4404288155,2016-11,969.055533
FR 4404288156,2016-11,816.081067
FR 4404288157,2016-11,916.915728
FR 4404288158,2016-11,901.739320
FR 4404288159,2016-11,672.696601
FR 4404288161,2016-11,762.079126
FR 4404288162,2016-11,905.184271
FR 4404288164,2016-11,1058.903592
FR 4404288169,2016-11,926.505728
FR 4404658920,2016-11,1046.613495
FR 4404658938,2016-11,969.241747
FR 4404659023,2016-11,59.309029
FR 4404659034,2016-11,129.790873
FR 4454691592,2016-11,1116.816019
FR 4912264927,2016-11,807.515242
FR 4935590346,2016-11,519.163495
FR 4945368325,2016-11,744.854368
FR 4947438444,2016-11,345.984854
FR 4947438454,2016-11,144.781067
FR 4950954269,2016-11,1047.637669
FR 4950954270,2016-11,708.170291
FR 4954667338,2016-11,733.960873
FR 4956691421,2016-11,726.512330
FR 4958880362,2016-11,919.615825
FR 4958880363,2016-11,828.278058
FR 4963097404,2016-11,1334.034174
FR 4968695856,2016-11,801.183980
FR 4404288019,2016-12,820.177766
FR 4404288028,2016-12,762.265339
FR 4404288029,2016-12,581.731262
FR 4404288040,2016-12,53.815728
FR 4404288045,2016-12,707.518543
FR 4404288063,2016-12,1041.399514
FR 4404288068,2016-12,1439.431067
FR 4404288069,2016-12,1000.060097
FR 4404288073,2016-12,282.020485
FR 4404288075,2016-12,1080.876796
FR 4404288080,2016-12,1146.796407
FR 4404288081,2016-12,906.115339
FR 4404288082,2016-12,894.104563
FR 4404288083,2016-12,900.156504
FR 4404288088,2016-12,1120.912718
FR 4404288094,2016-12,947.827184
FR 4404288097,2016-12,753.699514
FR 4404288098,2016-12,1161.507281
FR 4404288100,2016-12,1082.366504
FR 4404288101,2016-12,1411.312815
FR 4404288102,2016-12,952.575631
FR 4404288105,2016-12,502.311165
FR 4404288106,2016-12,617.018737
FR 4404288109,2016-12,1095.680776
FR 4404288110,2016-12,955.089514
FR 4404288111,2016-12,1047.079029
FR 4404288112,2016-12,475.868834
FR 4404288115,2016-12,44.877475
FR 4404288116,2016-12,257.719611
FR 4404288120,2016-12,247.291650
FR 4404288121,2016-12,1228.544174
FR 4404288122,2016-12,850.530582
FR 4404288126,2016-12,1151.172427
FR 4404288127,2016-12,1186.553009
FR 4404288128,2016-12,894.290776
FR 4404288129,2016-12,589.645339
FR 4404288130,2016-12,1018.029708
FR 4404288131,2016-12,21.693883
FR 4404288132,2016-12,752.489126
FR 4404288133,2016-12,30.539029
FR 4404288134,2016-12,90.127378
FR 4404288136,2016-12,122.714757
FR 4404288137,2016-12,262.747378
FR 4404288138,2016-12,1310.291941
FR 4404288139,2016-12,753.327087
FR 4404288140,2016-12,673.348349
FR 4404288141,2016-12,729.677961
FR 4404288142,2016-12,213.959417
FR 4404288143,2016-12,943.730485
FR 4404288145,2016-12,750.254563
FR 4404288146,2016-12,752.861553
FR 4404288149,2016-12,798.204563
FR 4404288150,2016-12,860.213689
FR 4404288151,2016-12,745.785436
FR 4404288153,2016-12,665.620485
FR 4404288154,2016-12,825.391747
FR 4404288155,2016-12,1031.157766
FR 4404288156,2016-12,830.512621
FR 4404288157,2016-12,871.665825
FR 4404288158,2016-12,875.948737
FR 4404288159,2016-12,821.946796
FR 4404288161,2016-12,738.523106
FR 4404288162,2016-12,911.794854
FR 4404288163,2016-12,776.696893
FR 4404288164,2016-12,1100.708543
FR 4404288167,2016-12,464.509805
FR 4404288168,2016-12,985.814757
FR 4404288169,2016-12,1111.788252
FR 4404288174,2016-12,276.154757
FR 4404288175,2016-12,299.803883
