AniLifeNumber,Month,mdpMonthlyMilkYield_Liters
FR 4404288019,2016-10,351.067961
FR 4404288028,2016-10,369.223300
FR 4404288040,2016-10,326.310679
FR 4404288045,2016-10,427.475728
FR 4404288050,2016-10,391.359223
FR 4404288063,2016-10,582.330097
FR 4404288069,2016-10,513.592233
FR 4404288075,2016-10,589.805825
FR 4404288081,2016-10,492.912621
FR 4404288083,2016-10,511.067961
FR 4404288088,2016-10,590.776699
FR 4404288094,2016-10,434.854368
FR 4404288098,2016-10,547.961165
FR 4404288100,2016-10,509.320388
FR 4404288101,2016-10,257.864077
FR 4404288102,2016-10,520.291262
FR 4404288106,2016-10,428.446601
FR 4404288109,2016-10,580.485436
FR 4404288110,2016-10,493.495145
FR 4404288111,2016-10,516.699029
FR 4404288115,2016-10,364.077669
FR 4404288116,2016-10,90.388349
FR 4404288120,2016-10,336.504854
FR 4404288121,2016-10,649.805825
FR 4404288122,2016-10,350.485436
FR 4404288126,2016-10,570.000000
FR 4404288128,2016-10,354.854368
FR 4404288129,2016-10,175.436893
FR 4404288130,2016-10,584.174757
FR 4404288131,2016-10,219.708737
FR 4404288132,2016-10,458.640776
FR 4404288133,2016-10,198.349514
FR 4404288134,2016-10,239.126213
FR 4404288136,2016-10,249.126213
FR 4404288137,2016-10,312.427184
FR 4404288138,2016-10,423.106796
FR 4404288139,2016-10,417.669902
FR 4404288140,2016-10,401.165048
FR 4404288142,2016-10,256.990291
FR 4404288143,2016-10,417.184466
FR 4404288145,2016-10,405.339805
FR 4404288146,2016-10,368.932038
FR 4404288149,2016-10,414.951456
FR 4404288150,2016-10,433.398058
FR 4404288151,2016-10,358.737864
FR 4404288153,2016-10,319.514563
FR 4404288154,2016-10,397.378640
FR 4404288155,2016-10,471.747572
FR 4404288156,2016-10,398.932038
FR 4404288157,2016-10,411.650485
FR 4404288158,2016-10,435.533980
FR 4404288159,2016-10,86.407766
FR 4404288161,2016-10,391.844660
FR 4404288162,2016-10,412.038834
FR 4404288164,2016-10,446.019417
FR 4404288169,2016-10,48.737864
FR 4404658920,2016-10,516.504854
FR 4404658938,2016-10,452.233009
FR 4454691592,2016-10,490.194174
FR 4912264927,2016-10,370.873786
FR 4935590346,2016-10,286.310679
FR 4945368325,2016-10,367.281553
FR 4947438444,2016-10,203.106796
FR 4947438454,2016-10,218.543689
FR 4950954269,2016-10,505.728155
FR 4950954270,2016-10,364.466019
FR 4954667338,2016-10,360.194174
FR 4956691421,2016-10,382.233009
FR 4958880362,2016-10,471.553398
FR 4958880363,2016-10,403.980582
FR 4963097404,2016-10,659.611650
FR 4968695856,2016-10,381.747572
FR 4404288019,2016-11,781.067961
FR 4404288028,2016-11,830.388349
FR 4404288029,2016-11,750.388349
FR 4404288040,2016-11,846.213592
FR 4404288045,2016-11,854.174757
FR 4404288050,2016-11,346.019417
FR 4404288063,2016-11,1245.631067
FR 4404288068,2016-11,313.009708
FR 4404288069,2016-11,1052.038834
FR 4404288075,2016-11,1190.194174
FR 4404288080,2016-11,952.038834
FR 4404288081,2016-11,1026.601941
FR 4404288082,2016-11,6.019417
FR 4404288083,2016-11,968.058252
FR 4404288088,2016-11,1260.679611
FR 4404288094,2016-11,1002.038834
FR 4404288098,2016-11,1189.805825
FR 4404288100,2016-11,1091.844660
FR 4404288101,2016-11,1345.145631
FR 4404288102,2016-11,1022.912621
FR 4404288106,2016-11,847.669902
FR 4404288109,2016-11,1181.553398
FR 4404288110,2016-11,1049.514563
FR 4404288111,2016-11,1200.000000
FR 4404288115,2016-11,755.922330
FR 4404288121,2016-11,1321.747572
FR 4404288122,2016-11,834.563106
FR 4404288126,2016-11,1241.165048
FR 4404288127,2016-11,467.378640
FR 4404288128,2016-11,884.271844
