Month,TotalMilk_Liters,KeptMilk_Liters,KeptRatio,diff_from_avg,,0.959048936
2020-10,84269.71,80987.86,0.9611,0.002051064,,
2020-11,93134.08,89793.3,0.9641,0.005051064,,
2020-12,102097.48,96523.98,0.9454,-0.013648936,,
2021-01,112703.01,108015.92,0.9584,-0.000648936,,
2021-02,104941.46,99080.49,0.9442,-0.014848936,,
2021-03,111234.85,105726.6,0.9505,-0.008548936,,
2021-04,109008.35,105257.28,0.9656,0.006551064,,
2021-05,115455.15,111042.72,0.9618,0.002751064,,
2021-06,103429.9,98779.22,0.955,-0.004048936,,
2021-07,106630.49,98813.79,0.9267,-0.032348936,,
2021-08,99466.02,92325.83,0.9282,-0.030848936,,
2021-09,90840.68,85032.82,0.9361,-0.022948936,,
2021-10,96201.36,90529.61,0.941,-0.018048936,,
2021-11,94365.63,91106.8,0.9655,0.006451064,,
2021-12,111059.9,106366.8,0.9577,-0.001348936,,
2022-01,125669.71,118338.64,0.9417,-0.017348936,,
2022-02,113553.4,109049.32,0.9603,0.001251064,,
2022-03,123750.1,119608.83,0.9665,0.007451064,,
2022-04,125443.59,122072.52,0.9731,0.014051064,,
2022-05,132110,127774.08,0.9672,0.008151064,,
2022-06,121500.97,116736.5,0.9608,0.001751064,,
2022-07,117663.4,112688.35,0.9577,-0.001348936,,
2022-08,110271.17,105070.39,0.9528,-0.006248936,,
2022-09,101966.7,98646.31,0.9674,0.008351064,,
2022-10,106901.75,103463.69,0.9678,0.008751064,,
2022-11,104449.61,100059.03,0.958,-0.001048936,,
2022-12,113323.11,110029.42,0.9709,0.011851064,,
2023-01,124679.13,121251.07,0.9725,0.013451064,,
2023-02,123336.7,119582.04,0.9696,0.010551064,,
2023-03,136238.45,132889.03,0.9754,0.016351064,,
2023-04,128768.06,124401.94,0.9661,0.007051064,,
2023-05,129702.82,123963.3,0.9557,-0.003348936,,
2023-06,117076.31,111879.81,0.9556,-0.003448936,,
2023-07,123382.91,118704.08,0.9621,0.003051064,,
2023-08,117541.17,112364.47,0.956,-0.003048936,,
2023-09,104980.87,98777.09,0.9409,-0.018148936,,
2023-10,112939.9,107715.73,0.9537,-0.005348936,,
2023-11,111304.08,108330.78,0.9733,0.014251064,,
2023-12,119107.18,115498.83,0.9697,0.010651064,,
2024-01,128744.95,124408.16,0.9663,0.007251064,,
2024-02,128585.73,123822.91,0.963,0.003951064,,
2024-03,139492.82,133707.38,0.9585,-0.000548936,,
2024-04,134113.79,129333.2,0.9644,0.005351064,,
2024-05,138721.55,133033.98,0.959,-4.89362E-05,,
2024-06,128285.05,126069.61,0.9827,0.023651064,,
2024-07,118819.51,115747.48,0.9741,0.015051064,,
2024-08,105921.94,100754.17,0.9512,-0.007848936,,
