AniId,AniLifeNumber,Correct_AniLifeNumber,AniActive,AniGenId,AniBirthday,AniMotherLifeNumber,entry_code,entry_date,exit_code,exit_date
200,,,TRUE,1,11/13/16,FR4404288127,N,11/13/16,NA,NA
239,,,FALSE,2,6/19/17,FR4404288098,N,6/19/17,NA,NA
240,,,FALSE,2,6/19/17,FR4404288098,N,6/19/17,NA,NA
249,,,FALSE,2,8/11/17,FR4404288207,N,8/11/17,NA,NA
263,,,FALSE,2,7/15/11,,N,7/15/11,NA,NA
270,,,FALSE,1,9/24/17,FR4958880507,N,9/24/17,NA,NA
281,,,FALSE,2,11/5/17,FR4958880509,N,11/5/17,NA,NA
287,,,FALSE,2,12/3/17,FR4404288169,N,12/3/17,NA,NA
313,,,FALSE,1,6/24/18,FR4404288019,N,6/24/18,NA,NA
321,,,FALSE,2,8/13/18,FR4935590346,N,8/13/18,NA,NA
329,,,FALSE,2,9/14/18,FR4404288199,N,9/14/18,NA,NA
365,,,FALSE,2,2/22/19,FR4404288213,N,2/22/19,NA,NA
392,,,FALSE,2,8/24/19,FR4454691592,N,8/24/19,NA,NA
658,,,FALSE,2,6/11/20,FR4404288243,N,6/11/20,NA,NA
686,,,FALSE,2,7/24/16,FR4401572140,NA,NA,NA,NA
698,,,FALSE,2,8/25/16,FR4401572089,NA,NA,NA,NA
699,,,FALSE,2,8/26/16,FR4401572111,NA,NA,NA,NA
751,,,FALSE,2,7/22/16,FR4401572120,NA,NA,NA,NA
759,,,FALSE,2,2/14/13,NA,N,2/14/13,NA,NA
760,,,FALSE,2,3/30/14,NA,N,3/30/14,NA,NA
1082,,,TRUE,2,3/30/24,FR4404288540,N,3/30/24,NA,NA
16,FR4404288078,,FALSE,2,6/5/11,,N,6/5/11,B,12/26/16
187,FR4404288078,,FALSE,2,6/5/11,,N,6/5/11,B,12/26/16
22,FR4404288087,,FALSE,2,9/24/11,,N,9/24/11,B,12/26/16
188,FR4404288087,,FALSE,2,9/24/11,,N,9/24/11,B,12/26/16
28,FR4404288099,,FALSE,2,2/8/12,,N,2/8/12,B,12/26/16
189,FR4404288099,,FALSE,2,2/8/12,,N,2/8/12,B,12/26/16
34,FR4404288108,,FALSE,2,6/21/12,,N,6/21/12,B,12/26/16
190,FR4404288108,,FALSE,2,6/21/12,,N,6/21/12,B,12/26/16
39,FR4404288114,,FALSE,2,9/13/12,,N,9/13/12,B,12/26/16
191,FR4404288114,,FALSE,2,9/13/12,,N,9/13/12,B,12/26/16
45,FR4404288123,,FALSE,2,10/15/12,,N,10/15/12,B,12/26/16
192,FR4404288123,,FALSE,2,10/15/12,,N,10/15/12,B,12/26/16
