AniLifeNumber,Month,MonthlyMilkYield_Liters
FR 4401572218,NULL,16766.893203
FR 4401572219,NULL,16901.456310
FR 4401572222,NULL,15757.378640
FR 4401572223,NULL,14758.252427
FR 4404281081,NULL,164.174757
FR 4404288019,NULL,37926.310679
FR 4404288028,NULL,22602.621359
FR 4404288029,NULL,8646.699029
FR 4404288040,NULL,1224.757281
FR 4404288045,NULL,3969.417475
FR 4404288050,NULL,10512.233009
FR 4404288063,NULL,3455.339805
FR 4404288068,NULL,11063.300970
FR 4404288069,NULL,15628.640776
FR 4404288073,NULL,2540.776699
FR 4404288075,NULL,34763.009708
FR 4404288079,NULL,5958.737864
FR 4404288080,NULL,32740.097087
FR 4404288081,NULL,8168.640776
FR 4404288082,NULL,6029.902912
FR 4404288083,NULL,7645.631067
FR 4404288088,NULL,27852.718446
FR 4404288094,NULL,11210.776699
FR 4404288097,NULL,18516.893203
FR 4404288098,NULL,36930.970873
FR 4404288100,NULL,31358.349514
FR 4404288101,NULL,38504.174757
FR 4404288102,NULL,28492.718446
FR 4404288105,NULL,16779.417475
FR 4404288106,NULL,2077.766990
FR 4404288109,NULL,7353.980582
FR 4404288110,NULL,7788.543689
FR 4404288111,NULL,18305.145631
FR 4404288112,NULL,7732.718446
FR 4404288115,NULL,26764.271844
FR 4404288116,NULL,8591.262135
FR 4404288120,NULL,36864.951456
FR 4404288121,NULL,20746.699029
FR 4404288122,NULL,7237.281553
FR 4404288126,NULL,7454.951456
FR 4404288127,NULL,7265.533980
FR 4404288128,NULL,34637.961165
FR 4404288129,NULL,2958.737864
FR 4404288130,NULL,13231.456310
FR 4404288131,NULL,8242.330097
FR 4404288132,NULL,31101.650485
FR 4404288133,NULL,21825.631067
FR 4404288134,NULL,38403.592233
FR 4404288136,NULL,31840.970873
FR 4404288137,NULL,20114.757281
FR 4404288138,NULL,12210.291262
FR 4404288139,NULL,33089.805825
FR 4404288140,NULL,37793.495145
FR 4404288141,NULL,36989.223300
FR 4404288142,NULL,10531.067961
FR 4404288143,NULL,8253.009708
FR 4404288145,NULL,31132.233009
FR 4404288146,NULL,15831.262135
FR 4404288149,NULL,25849.708737
FR 4404288150,NULL,38542.330097
FR 4404288151,NULL,34889.029126
FR 4404288153,NULL,2393.592233
FR 4404288154,NULL,32691.067961
FR 4404288155,NULL,28436.116504
FR 4404288156,NULL,20425.728155
FR 4404288157,NULL,20935.631067
FR 4404288158,NULL,19431.844660
FR 4404288159,NULL,23111.747572
FR 4404288161,NULL,35288.058252
FR 4404288162,NULL,23681.262135
FR 4404288163,NULL,18149.708737
FR 4404288164,NULL,39735.728155
FR 4404288165,NULL,20107.281553
FR 4404288167,NULL,42472.038834
FR 4404288168,NULL,20130.582524
FR 4404288169,NULL,25189.805825
FR 4404288170,NULL,179.029126
FR 4404288171,NULL,31913.689320
FR 4404288172,NULL,1553.203883
FR 4404288174,NULL,36990.776699
FR 4404288175,NULL,35665.825242
FR 4404288176,NULL,8764.951456
FR 4404288177,NULL,40498.932038
FR 4404288178,NULL,24329.514563
FR 4404288180,NULL,38989.126213
FR 4404288181,NULL,915.145631
FR 4404288182,NULL,493.300970
FR 4404288183,NULL,4235.825242
FR 4404288184,NULL,877.087378
FR 4404288185,NULL,36178.932038
FR 4404288186,NULL,539.029126
FR 4404288187,NULL,407.087378
FR 4404288188,NULL,25819.611650
FR 4404288190,NULL,11734.271844
FR 4404288191,NULL,214.466019
FR 4404288192,NULL,15297.378640
FR 4404288193,NULL,32243.883495
FR 4404288194,NULL,26959.805825
FR 4404288195,NULL,27458.349514
FR 4404288197,NULL,27836.019417
FR 4404288198,NULL,26489.708737
FR 4404288199,NULL,9061.456310
FR 4404288200,NULL,17637.378640
FR 4404288201,NULL,7126.796116
FR 4404288202,NULL,29791.650485
FR 4404288203,NULL,32065.242718
FR 4404288204,NULL,9099.805825
FR 4404288205,NULL,20223.106796
FR 4404288206,NULL,10363.980582
FR 4404288207,NULL,20663.786407
FR 4404288208,NULL,25649.417475
FR 4404288210,NULL,21765.242718
FR 4404288211,NULL,29363.786407
FR 4404288212,NULL,27986.601941
FR 4404288213,NULL,18627.864077
FR 4404288214,NULL,26702.524271
FR 4404288215,NULL,30085.825242
FR 4404288216,NULL,1854.757281
FR 4404288217,NULL,24996.796116
FR 4404288218,NULL,25860.582524
FR 4404288219,NULL,14564.854368
FR 4404288220,NULL,28125.631067
FR 4404288221,NULL,25849.902912
FR 4404288222,NULL,21414.077669
FR 4404288224,NULL,25440.582524
