AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
6,10,2,2014-10-06 00:00:00.000,376,NULL,2014-10-12 12:09:00.000,2014-10-06 00:00:00.000,2014-10-22 00:00:00.000,16,369.223300,23.768750,369.223293,0.000000,-369.223293,4.461176,3.947647,2014-10-22 00:00:00.000,NULL,FR 4401571216
7,8,2,2014-08-05 00:00:00.000,351,NULL,2014-08-12 06:53:00.000,2014-08-06 00:00:00.000,2015-02-03 00:00:00.000,181,6878.349514,39.141988,1097.475716,2579.417444,1481.941728,4.395439,3.057912,2015-02-03 00:00:00.000,NULL,FR 4401571239
8,7,2,2014-08-30 00:00:00.000,362,NULL,2014-09-06 06:49:00.000,2014-08-31 00:00:00.000,2015-08-27 00:00:00.000,361,14211.747572,40.548753,1047.087363,3023.980552,1976.893189,4.325994,3.096933,2015-08-27 00:00:00.000,NULL,FR 4401571247
9,7,2,2014-10-12 00:00:00.000,379,NULL,2014-10-19 18:31:00.000,2014-10-12 00:00:00.000,2015-02-17 00:00:00.000,128,4190.194174,33.717968,926.116489,2100.388318,1174.271829,4.888914,3.161085,2015-02-17 00:00:00.000,NULL,FR 4401571263
11,6,2,2014-04-11 00:00:00.000,330,NULL,2014-04-18 19:20:00.000,2014-04-11 00:00:00.000,2014-10-20 00:00:00.000,192,8646.019417,46.382291,1465.242701,3427.378612,1962.135911,4.618238,3.682538,2014-10-20 00:00:00.000,NULL,FR 4401571276
12,5,1,2014-01-08 00:00:00.000,311,NULL,2014-01-15 07:41:00.000,2014-01-09 00:00:00.000,2015-01-07 00:00:00.000,363,16523.203883,46.884022,1155.048529,3257.961132,2102.912603,4.517500,3.447609,2015-01-07 00:00:00.000,54,FR 4401571277
12,6,2,2015-03-02 00:00:00.000,428,NULL,2015-03-09 14:42:00.000,2015-03-02 00:00:00.000,2016-05-20 00:00:00.000,445,18014.077669,41.695505,1154.563091,3029.514534,1874.951443,4.594035,3.179013,2016-05-20 00:00:00.000,95,FR 4401571277
12,7,3,2016-08-22 00:00:00.000,560,NULL,2016-08-29 08:10:00.000,2016-08-23 00:00:00.000,2017-04-25 00:00:00.000,245,7364.466019,30.960816,870.194160,2125.728125,1255.533965,4.118481,3.380379,2017-04-25 00:00:00.000,NULL,FR 4401571277
13,6,2,2014-11-06 00:00:00.000,385,NULL,2014-11-11 19:03:00.000,2014-11-06 00:00:00.000,2014-11-07 00:00:00.000,1,5.533980,5.700000,5.533980,0.000000,-5.533980,1.490000,5.030000,2014-11-07 00:00:00.000,NULL,FR 4401571288
14,5,2,2014-08-02 00:00:00.000,349,NULL,2014-08-09 19:52:00.000,2014-08-02 00:00:00.000,2015-07-28 00:00:00.000,360,12259.029126,35.074444,1089.223286,2376.796085,1287.572799,4.546509,3.117451,2015-07-28 00:00:00.000,NULL,FR 4401571289
