"","AniId","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacId","LacRemarks","LacColostrumDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","avg_daily_yield","early_lactation_yield","mid_lactation_yield","delta_early_mid_yield","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","AniLifeNumber","entry_code","entry_date","exit_code","exit_date","AniGenId","AniBirthday","AniMotherLifeNumber","still_milking","est_deliver_total_milk_L","est_deliver_avg_daily_yield","est_deliver_early_lactation_yield","est_deliver_mid_lactation_yield","est_deliver_delta_lactation_yield"
"1","67",1,1,2013-11-13,289,"NULL",2013-11-20,2013-11-13,2014-09-08,299,6236.796116,21.484615,626.50484,1356.893175,730.388335,3.79053,3.653306,2014-09-08,NA,"FR4401572098",NA,NA,NA,NA,NA,2011-10-20,NA,FALSE,5981.087475244,20.603745785,600.81814156,1301.260554825,700.442413265
"2","69",1,1,2013-11-16,291,"NULL",2013-11-20,2013-11-16,2014-11-25,374,11897.961165,32.767112,589.1262,1710.194148,1121.067948,3.257267,3.495,2014-11-25,45,"FR4401572100","N",2011-11-03,"B",2018-11-13,2,2011-11-03,"",FALSE,11410.144757235,31.423660408,564.9720258,1640.076187932,1075.104162132
"3","43",2,1,2013-11-18,293,"NULL",2013-11-24,2013-11-19,2013-12-11,22,457.475728,21.418181,457.475716,0,-457.475716,NA,NA,2013-12-11,NA,"FR4401572065",NA,NA,NA,NA,NA,2010-08-22,NA,FALSE,438.719223152,20.540035579,438.719211644,0,-438.719211644
"4","28",3,1,2013-11-22,296,"NULL",2013-11-29,2013-12-03,2014-01-07,35,565.242718,16.634285,254.07766,311.165039,57.087379,NA,NA,2014-01-07,NA,"FR4401572036",NA,NA,NA,NA,NA,2009-05-16,NA,FALSE,542.067766562,15.952279315,243.66047594,298.407272401,54.746796461
"5","70",1,1,2013-11-24,298,"NULL",2013-12-01,2013-11-24,2014-12-20,391,9454.951456,24.906905,739.417458,1631.165023,891.747565,5.000747,3.709913,2014-12-20,88,"FR4401572101","N",2011-11-08,"B",2018-03-14,2,2011-11-08,"",FALSE,9067.298446304,23.885721895,709.101342222,1564.287257057,855.185914835
"6","72",1,1,2013-12-03,300,"NULL",2013-12-10,2013-12-03,2014-12-25,387,11810.970873,31.434883,590.970858,1784.174725,1193.203867,4.132351,3.269206,2014-12-25,NA,"FR4401572103",NA,NA,NA,NA,NA,2011-11-19,NA,FALSE,11326.721067207,30.146052797,566.741052822,1711.023561275,1144.282508453
"7","21",4,1,2013-12-08,302,"NULL",2013-12-15,2013-12-08,2014-01-24,47,2083.009708,45.648936,1124.466004,958.543682,-165.922322,3.995555,3,2014-01-24,NA,"FR4401572020",NA,NA,NA,NA,NA,2008-09-01,NA,FALSE,1997.606309972,43.777329624,1078.362897836,919.243391038,-159.119506798
"8","41",2,1,2013-12-08,303,"NULL",2013-12-15,2013-12-09,2014-11-25,351,13006.990291,38.16866,1072.135908,2894.174723,1822.038815,4.87938,3.614303,2014-11-25,190,"FR4401572063",NA,NA,NA,NA,NA,2010-07-23,NA,FALSE,12473.703689069,36.60374494,1028.178335772,2775.513559357,1747.335223585
"9","17",4,1,2013-12-11,305,"NULL",2013-12-18,2013-12-11,2014-08-09,241,11450,48.935684,1324.368918,3355.922297,2031.553379,4.061069,3.287906,2014-08-09,NA,"FR4401571293",NA,NA,NA,NA,NA,2007-09-22,NA,FALSE,10980.55,46.929320956,1270.069792362,3218.329482823,1948.259690461
"10","47",2,1,2013-12-18,306,"NULL",2013-12-25,2013-12-18,2014-10-03,289,10176.893203,36.270588,1023.980567,2457.475697,1433.49513,4.422407,3.711555,2014-10-03,43,"FR4401572070","N",2010-10-20,"B",2017-09-12,2,2010-10-20,"",FALSE,9759.640581677,34.783493892,981.997363753,2356.719193423,1374.72182967
"11","45",2,1,2013-12-19,308,"NULL",2013-12-25,2013-12-19,2014-07-01,194,5678.058252,30.146391,755.33979,2000.194149,1244.854359,4.02534,3.539261,2014-07-01,214,"FR4401572068",NA,NA,NA,NA,NA,2010-09-15,NA,FALSE,5445.257863668,28.910388969,724.37085861,1918.186188891,1193.815330281
"12","73",1,1,2013-12-29,309,"NULL",2014-01-06,2013-12-29,2014-12-08,344,10690.388349,32.009011,656.796103,2034.563081,1377.766978,4.173482,3.433779,2014-12-08,52,"FR4401572104","N",2011-12-06,"B",2018-03-14,2,2011-12-06,"",FALSE,10252.082426691,30.696641549,629.867462777,1951.145994679,1321.278531902
"13","12",5,1,2014-01-08,311,"NULL",2014-01-15,2014-01-09,2015-01-07,363,16523.203883,46.884022,1155.048529,3257.961132,2102.912603,4.5175,3.447609,2015-01-07,54,"FR4401571277","N",2006-09-17,"B",2017-04-25,2,2006-09-17,"",FALSE,15845.752523797,44.961777098,1107.691539311,3124.384725588,2016.693186277
"14","48",2,1,2014-01-12,312,"NULL",2014-01-19,2014-01-13,2014-11-10,301,12305.339805,42.107973,1025.825228,2765.728128,1739.9029,4.439139,3.735496,2014-11-10,45,"FR4401572072",NA,NA,NA,NA,NA,2010-12-31,NA,FALSE,11800.820872995,40.381546107,983.766393652,2652.333274752,1668.5668811
"15","153",1,1,2014-01-15,314,"NULL",2014-01-27,2014-01-15,2015-02-26,407,11864.854368,30.026535,596.504838,1869.029092,1272.524254,4.310466,3.486142,2015-02-26,92,"FR4401572102","N",2011-11-18,"B",2017-07-18,2,2011-11-18,"",FALSE,11378.395338912,28.795447065,572.048139642,1792.398899228,1220.350759586
"16","154",1,1,2014-01-17,316,"NULL",2014-01-28,2014-01-18,2014-12-25,341,11542.524271,34.864516,815.922316,2119.223271,1303.300955,4.295584,3.560614,2014-12-25,NA,"FR4401572087",NA,NA,NA,NA,NA,2011-07-05,NA,FALSE,11069.280775889,33.435070844,782.469501044,2032.335116889,1249.865615845
"17","155",1,1,2014-01-27,318,"NULL",2014-02-03,2014-01-30,2014-11-14,288,11079.805825,39.625694,893.883483,2612.135892,1718.252409,3.907301,3.392006,2014-11-14,62,"FR4401572092",NA,NA,NA,NA,NA,2011-08-05,NA,FALSE,10625.533786175,38.001040546,857.234260197,2505.038320428,1647.804060231
"18","156",1,1,2014-01-31,321,"NULL",2014-02-07,2014-01-31,2014-11-26,299,8186.990291,28.202675,676.699013,1685.533951,1008.834938,4.464566,3.726766,2014-11-26,NA,"FR4401572099",NA,NA,NA,NA,NA,2011-11-02,NA,FALSE,7851.323689069,27.046365325,648.954353467,1616.427059009,967.472705542
"19","32",3,1,2014-02-14,322,"NULL",2014-02-21,2014-02-15,2014-03-06,19,759.2233,41.157894,759.223289,0,-759.223289,4.2095,3.746,2014-03-06,NA,"FR4401572046",NA,NA,NA,NA,NA,2009-10-14,NA,FALSE,728.0951447,39.470420346,728.095134151,0,-728.095134151
"20","50",2,2,2014-03-03,323,"NULL",2014-03-10,2014-03-04,2014-10-31,241,9616.990291,41.101659,1099.611634,2784.757252,1685.145618,3.996239,3.495702,2014-10-31,112,"FR4401572077",NA,NA,NA,NA,NA,2011-02-17,NA,FALSE,9222.693689069,39.416490981,1054.527557006,2670.582204668,1616.054647662
