"","InsId","InsSirId","InsNumber","InsRemarks","InsDate","InsLacId","AniId","AniLifeNumber","AniBirthday","AniGenId","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacRemarks","LacColostrumDate","category","entry_code","entry_date","exit_code","exit_date","race","PreLacId","PreDate","PreRemark","successful_insem","successful_pregnancy"
"1",1,NA,1,"",2015-11-23,191,5,"FR4404288029",2009-05-24,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"2",2,NA,2,"",2015-12-26,191,5,"FR4404288029",2009-05-24,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"3",3,NA,3,"",2016-01-21,191,5,"FR4404288029",2009-05-24,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,2016-07-21,NA,TRUE,FALSE
"4",4,NA,1,"",2016-04-19,200,7,"FR4404288040",2009-10-10,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,2016-10-13,NA,TRUE,FALSE
"5",5,NA,1,"",2016-06-21,203,8,"FR4404288045",2009-12-26,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"6",6,NA,1,"",2016-04-04,207,9,"FR4404288050",2010-02-15,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,2016-10-13,NA,TRUE,FALSE
"7",7,NA,1,"",2016-02-17,211,10,"FR4404288059",2010-05-31,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"8",8,NA,1,"",2015-11-17,215,11,"FR4404288063",2010-07-06,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"9",9,NA,1,"",2016-02-13,219,12,"FR4404288068",2010-11-13,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,2016-07-21,NA,TRUE,FALSE
"10",10,NA,1,"",2015-10-31,222,13,"FR4404288069",2010-12-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"11",11,NA,1,"",2016-03-21,225,14,"FR4404288073",2011-02-07,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,2016-07-21,NA,TRUE,FALSE
"12",12,NA,1,"",2015-11-02,228,15,"FR4404288075",2011-04-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"13",13,NA,2,"",2015-11-25,228,15,"FR4404288075",2011-04-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
