"","InsId","InsNumber","InsDate","InsItyId","InsSirId","InsChargeNumber","InsSequenceNumber","InsLacId","InsConId","InsRemarks","InsEdiStatus","InsRowTimeStamp","InsDprId","LacAniId","LacCalvingDate","LacNumber","LacDryOffDate","LacColostrumDate","LacRemarks","AniLifeNumber","AniBirthday","AniKeep","AniGenId","AniActive","AniMotherLifeNumber","lactation_length_days","colostrum_length_days","age_at_first_calving","calving_to_insem","next_lactation_dry_days","number_lactations"
"1",89,1,2015-10-28,1,NA,NA,0,66,NA,"",NA,2015-10-28 00:00:00,1,66,2013-12-14,0,NA,NA,NA,"FR 4404288147",2013-12-14,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,0
"2",90,2,2015-12-02,1,NA,NA,0,66,NA,"",NA,2015-12-02 00:00:00,1,66,2013-12-14,0,NA,NA,NA,"FR 4404288147",2013-12-14,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,0
"3",94,1,2015-11-16,1,NA,NA,0,73,NA,"",NA,2015-11-16 00:00:00,1,73,2014-04-14,0,NA,NA,NA,"FR 4404288155",2014-04-14,TRUE,2,FALSE,"FR 4404288093",NA,NA,27,NA,NA,3
"4",95,1,2015-11-16,1,NA,NA,0,75,NA,"",NA,2015-11-16 00:00:00,1,75,2014-05-09,0,NA,NA,NA,"FR 4404288157",2014-05-09,TRUE,2,FALSE,"",NA,NA,27,NA,NA,2
"5",96,1,2015-12-07,1,NA,NA,0,77,NA,"",NA,2015-12-07 00:00:00,1,77,2014-05-24,0,NA,NA,NA,"FR 4404288159",2014-05-24,TRUE,2,FALSE,"",NA,NA,29,NA,NA,3
"6",97,2,2016-01-16,1,NA,NA,0,77,NA,"",NA,2016-01-16 00:00:00,1,77,2014-05-24,0,NA,NA,NA,"FR 4404288159",2014-05-24,TRUE,2,FALSE,"",NA,NA,29,NA,NA,3
"7",98,1,2015-11-05,1,NA,NA,0,79,NA,"",NA,2015-11-05 00:00:00,1,79,2014-06-04,0,NA,NA,NA,"FR 4404288162",2014-06-04,TRUE,2,FALSE,"",NA,NA,27,NA,NA,2
"8",99,2,2015-12-31,1,NA,NA,0,79,NA,"",NA,2015-12-31 00:00:00,1,79,2014-06-04,0,NA,NA,NA,"FR 4404288162",2014-06-04,TRUE,2,FALSE,"",NA,NA,27,NA,NA,2
"9",100,3,2016-01-26,1,NA,NA,0,79,NA,"",NA,2016-01-26 00:00:00,1,79,2014-06-04,0,NA,NA,NA,"FR 4404288162",2014-06-04,TRUE,2,FALSE,"",NA,NA,27,NA,NA,2
"10",101,1,2016-02-01,1,NA,NA,0,80,NA,"",NA,2016-02-01 00:00:00,1,80,2014-06-16,0,NA,NA,NA,"FR 4404288163",2014-06-16,TRUE,2,FALSE,"",NA,NA,29,NA,NA,1
"11",102,2,2016-02-29,1,NA,NA,0,80,NA,"",NA,2016-02-29 00:00:00,1,80,2014-06-16,0,NA,NA,NA,"FR 4404288163",2014-06-16,TRUE,2,FALSE,"",NA,NA,29,NA,NA,1
"12",103,1,2015-12-11,1,NA,NA,0,81,NA,"",NA,2015-12-11 00:00:00,1,81,2014-06-22,0,NA,NA,NA,"FR 4404288164",2014-06-22,TRUE,2,FALSE,"FR 4404287007",NA,NA,27,NA,NA,5
"13",104,2,2016-01-05,1,NA,NA,0,81,NA,"",NA,2016-01-05 00:00:00,1,81,2014-06-22,0,NA,NA,NA,"FR 4404288164",2014-06-22,TRUE,2,FALSE,"FR 4404287007",NA,NA,27,NA,NA,5
"14",105,1,2015-11-18,1,NA,NA,0,82,NA,"",NA,2015-11-18 00:00:00,1,82,2014-06-27,0,NA,NA,NA,"FR 4404288165",2014-06-27,TRUE,2,FALSE,"",NA,NA,30,NA,NA,1
"15",106,2,2015-12-08,1,NA,NA,0,82,NA,"",NA,2015-12-08 00:00:00,1,82,2014-06-27,0,NA,NA,NA,"FR 4404288165",2014-06-27,TRUE,2,FALSE,"",NA,NA,30,NA,NA,1
"16",107,3,2015-12-26,1,NA,NA,0,82,NA,"",NA,2015-12-26 00:00:00,1,82,2014-06-27,0,NA,NA,NA,"FR 4404288165",2014-06-27,TRUE,2,FALSE,"",NA,NA,30,NA,NA,1
"17",108,4,2016-02-08,1,NA,NA,0,82,NA,"",NA,2016-02-08 00:00:00,1,82,2014-06-27,0,NA,NA,NA,"FR 4404288165",2014-06-27,TRUE,2,FALSE,"",NA,NA,30,NA,NA,1
"18",109,5,2016-04-16,1,NA,NA,0,82,NA,"",NA,2016-04-16 00:00:00,1,82,2014-06-27,0,NA,NA,NA,"FR 4404288165",2014-06-27,TRUE,2,FALSE,"",NA,NA,30,NA,NA,1
"19",110,1,2016-02-16,1,NA,NA,0,83,NA,"",NA,2016-02-16 00:00:00,1,83,2014-08-11,0,NA,NA,NA,"FR 4404288166",2014-08-11,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,0
"20",111,1,2015-12-31,1,NA,NA,0,84,NA,"",NA,2015-12-31 00:00:00,1,84,2014-08-19,0,NA,NA,NA,"FR 4404288167",2014-08-19,TRUE,2,FALSE,"FR 4404288112",NA,NA,27,NA,NA,5
"21",112,2,2016-03-02,1,NA,NA,0,84,NA,"",NA,2016-03-02 00:00:00,1,84,2014-08-19,0,NA,NA,NA,"FR 4404288167",2014-08-19,TRUE,2,FALSE,"FR 4404288112",NA,NA,27,NA,NA,5
"22",113,1,2016-02-29,1,NA,NA,0,85,NA,"",NA,2016-02-29 00:00:00,1,85,2014-08-20,0,NA,NA,NA,"FR 4404288168",2014-08-20,TRUE,2,FALSE,"",NA,NA,27,NA,NA,1
"23",114,1,2016-01-25,1,NA,NA,0,86,NA,"",NA,2016-01-25 00:00:00,1,86,2014-08-22,0,NA,NA,NA,"FR 4404288169",2014-08-22,TRUE,2,FALSE,"",NA,NA,26,NA,NA,2
"24",115,1,2016-01-28,1,NA,NA,0,87,NA,"",NA,2016-01-28 00:00:00,1,87,2014-08-23,0,NA,NA,NA,"FR 4404288170",2014-08-23,TRUE,2,FALSE,"",NA,NA,NA,NA,NA,0
