"","AniLifeNumber","lac_number_calculated","AniBirthday","AniActive","milk_production_start_date","milk_production_end_date","last_milk_date","total_milk_prod","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacCalvingDate","age_at_first_calving","lactation_duration"
"1","",1,2011-07-15,FALSE,2017-08-31,2017-09-01,2017-09-01,9.5,7.37,3.32,2017-09-01,1081,FALSE,2017-08-31,73,1
"2","FR4401572218",2,2016-07-22,FALSE,2019-11-01,2020-07-29,2020-07-29,9280.09999999999,4.39459558823529,3.43797794117647,2020-07-29,63,FALSE,2019-10-31,27,271
"3","FR4401572218",3,2016-07-22,FALSE,2020-09-30,2021-09-10,2021-09-10,11848.6,4.37706896551724,3.49408045977012,2021-09-10,56,FALSE,2020-09-30,27,345
"4","FR4401572218",4,2016-07-22,FALSE,2021-11-05,2022-08-05,2022-08-05,11366.8,4.65541516245487,3.51729241877256,2022-08-05,32,FALSE,2021-11-05,27,273
"5","FR4401572218",6,2016-07-22,FALSE,2022-10-15,2023-02-13,2023-02-13,3485.9,4.64276422764228,3.7420325203252,2023-02-13,17,FALSE,2022-10-14,27,121
"6","FR4401572219",2,2016-07-24,TRUE,2019-10-17,2020-08-21,2020-08-21,10649.4,5.00487096774194,3.17787096774194,2020-08-21,62,FALSE,2019-10-17,27,309
"7","FR4401572219",3,2016-07-24,TRUE,2020-10-22,2021-11-29,2021-11-29,15151.6,4.72911547911548,3.17842751842752,2021-11-29,190,FALSE,2020-10-22,27,403
"8","FR4401572219",5,2016-07-24,TRUE,2022-07-07,2023-08-18,2023-08-18,17015.6,5.25626213592233,3.11313106796117,2023-08-18,62,FALSE,2022-07-06,27,407
"9","FR4401572219",6,2016-07-24,TRUE,2023-10-19,2024-09-19,2024-09-19,15742.4,5.26187683284457,3.19932551319648,2024-09-19,NA,TRUE,2023-10-18,27,336
"10","FR4401572222",2,2016-08-25,FALSE,2020-03-11,2021-04-01,2021-04-01,13243.8,4.68917312661499,3.46459948320413,2021-04-01,49,FALSE,2020-03-11,25,386
"11","FR4401572222",3,2016-08-25,FALSE,2021-05-20,2022-05-06,2022-05-06,13767.4,4.54691011235955,3.39536516853933,2022-05-06,32,FALSE,2021-05-19,25,351
"12","FR4401572222",5,2016-08-25,FALSE,2022-07-05,2023-07-31,2023-07-31,13844.9,4.88843434343434,3.46141414141414,2023-07-31,NA,FALSE,2022-07-05,25,391
"13","FR4401572223",2,2016-08-26,FALSE,2019-11-12,2020-10-08,2020-10-08,9496,4.38704819277108,3.37084337349398,2020-10-08,65,FALSE,2019-11-11,25,331
"14","FR4401572223",3,2016-08-26,FALSE,2020-12-12,2022-01-07,2022-01-07,12424.9,4.57618686868687,3.3825,2022-01-07,82,FALSE,2020-12-11,25,391
"15","FR4401572223",4,2016-08-26,FALSE,2022-03-30,2023-06-09,2023-06-09,16801.4,4.86276018099548,3.32601809954751,2023-06-09,NA,FALSE,2022-03-30,25,436
"16","FR44042808550",1,2022-01-29,TRUE,2024-03-22,2024-09-19,2024-09-19,7505,3.39395604395604,3.31835164835165,2024-09-19,NA,TRUE,2024-03-21,25,181
"17","FR44042808552",1,2022-02-09,TRUE,2024-04-12,2024-09-19,2024-09-19,5324.8,4.15981366459627,3.41254658385093,2024-09-19,NA,TRUE,2024-04-11,26,160
"18","FR44042808553",1,2022-02-11,TRUE,2024-04-05,2024-09-19,2024-09-19,6498.9,3.83607142857143,3.19720238095238,2024-09-19,NA,TRUE,2024-04-04,25,167
"19","FR44042808554",1,2022-02-11,TRUE,2024-04-01,2024-09-19,2024-09-19,6121.5,3.6803488372093,3.18459302325581,2024-09-19,NA,TRUE,2024-04-01,25,171
"20","FR44042808555",1,2022-03-29,TRUE,2024-03-18,2024-09-19,2024-09-19,6442.2,3.37962365591398,3.17064516129032,2024-09-19,NA,TRUE,2024-03-17,23,185
"21","FR44042808556",1,2022-03-29,TRUE,2024-07-03,2024-09-19,2024-09-19,3419,4.47139240506329,3.18607594936709,2024-09-19,NA,TRUE,2024-07-03,27,78
"22","FR44042808558",1,2022-04-06,TRUE,2024-07-31,2024-09-19,2024-09-19,1411.8,4.16979166666667,3.33354166666667,2024-09-19,NA,TRUE,2024-07-31,27,50
"23","FR44042808560",1,2022-04-07,TRUE,2024-03-17,2024-09-18,2024-09-18,5675.8,4.30421621621622,3.44091891891892,2024-09-18,NA,TRUE,2024-03-17,23,185
"24","FR44042808561",1,2022-04-11,TRUE,2024-06-03,2024-09-06,2024-09-06,4182.5,3.49260869565217,3.1754347826087,2024-09-06,NA,FALSE,2024-06-03,25,95
"25","FR44042808562",1,2022-04-20,TRUE,2024-06-05,2024-09-19,2024-09-19,4171.4,2.54028037383178,2.92448598130841,2024-09-19,NA,TRUE,2024-06-04,25,106
"26","FR44042808564",1,2022-04-30,TRUE,2024-05-15,2024-07-01,2024-07-01,1503.2,4.30914893617021,3.67936170212766,2024-07-01,25,FALSE,2024-05-15,24,47
