LacId,LacAniId,LacNumber,LacDryOffDate,LacCalvingDate,LacColostrumDate,LacRemarks,AniLifeNumber,AniBirthday,AniKeep,AniGenId,AniActive,AniMotherLifeNumber,lactation_length_days,colostrum_length_days,age_at_first_calving.x,age_at_first_calving.y
1,2,0,NA,1/1/05,NA,NA,NL 1235469870,1/1/05,TRUE,2,FALSE,NA,NA,NA,136,136
2,2,1,NA,5/24/16,5/31/16,NA,NL 1235469870,1/1/05,TRUE,2,FALSE,NA,NA,7,136,136
3,3,0,NA,11/28/08,NA,NA,FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,NA,NA,25,25
176,3,1,NA,1/5/11,1/12/11,NA,FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,NA,7,25,25
177,3,2,NA,12/18/11,12/25/11,NA,FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,NA,7,25,25
178,3,3,NA,12/23/12,12/30/12,NA,FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,NA,7,25,25
179,3,4,NA,1/14/14,1/21/14,NA,FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,NA,7,25,25
180,3,5,NA,12/31/14,1/7/15,NA,FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,NA,7,25,25
181,3,6,2/27/17,5/26/16,6/2/16,NA,FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,277,7,25,25
516,3,7,5/6/18,5/20/17,5/27/17,,FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,351,7,25,25
727,3,8,7/15/19,6/24/18,7/1/18,,FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,386,7,25,25
959,3,9,6/23/20,9/17/19,9/22/19,"Ordonnance : 0200520154, du 26.05.2020",FR 4404288019,11/28/08,TRUE,2,FALSE,FR 4404281402,280,5,25,25
955,4,9,1/23/20,9/8/19,9/15/19,"Orbenor : ArD et ArG
Maamiseai : les quatre",FR 4404288028,5/19/09,TRUE,2,FALSE,,137,7,29,29
785,4,8,7/15/19,10/17/18,10/24/18,,FR 4404288028,5/19/09,TRUE,2,FALSE,,271,7,29,29
595,4,7,8/22/18,9/5/17,9/12/17,,FR 4404288028,5/19/09,TRUE,2,FALSE,,351,7,29,29
182,4,1,NA,10/28/11,11/4/11,NA,FR 4404288028,5/19/09,TRUE,2,FALSE,,NA,7,29,29
183,4,2,NA,9/19/12,9/26/12,NA,FR 4404288028,5/19/09,TRUE,2,FALSE,,NA,7,29,29
184,4,3,NA,9/23/13,9/30/13,NA,FR 4404288028,5/19/09,TRUE,2,FALSE,,NA,7,29,29
185,4,4,NA,8/11/14,8/18/14,NA,FR 4404288028,5/19/09,TRUE,2,FALSE,,NA,7,29,29
186,4,5,NA,7/14/15,7/21/15,NA,FR 4404288028,5/19/09,TRUE,2,FALSE,,NA,7,29,29
187,4,6,6/14/17,6/13/16,6/20/16,,FR 4404288028,5/19/09,TRUE,2,FALSE,,366,7,29,29
4,4,0,NA,5/19/09,NA,NA,FR 4404288028,5/19/09,TRUE,2,FALSE,,NA,NA,29,29
5,5,0,NA,5/24/09,NA,NA,FR 4404288029,5/24/09,TRUE,2,FALSE,,NA,NA,28,28
188,5,1,NA,10/12/11,10/19/11,NA,FR 4404288029,5/24/09,TRUE,2,FALSE,,NA,7,28,28
189,5,2,NA,11/29/12,12/6/12,NA,FR 4404288029,5/24/09,TRUE,2,FALSE,,NA,7,28,28
190,5,3,NA,1/16/14,1/23/14,NA,FR 4404288029,5/24/09,TRUE,2,FALSE,,NA,7,28,28
191,5,4,8/29/16,8/29/15,9/5/15,NA,FR 4404288029,5/24/09,TRUE,2,FALSE,,366,7,28,28
419,5,5,1/3/18,11/4/16,11/11/16,,FR 4404288029,5/24/09,TRUE,2,FALSE,,425,7,28,28
192,6,1,NA,9/9/11,9/16/11,NA,FR 4404288035,9/8/09,TRUE,2,FALSE,,NA,7,24,24
193,6,2,NA,9/17/12,9/24/12,NA,FR 4404288035,9/8/09,TRUE,2,FALSE,,NA,7,24,24
194,6,3,NA,10/27/13,11/3/13,NA,FR 4404288035,9/8/09,TRUE,2,FALSE,,NA,7,24,24
195,6,4,NA,11/24/14,12/1/14,NA,FR 4404288035,9/8/09,TRUE,2,FALSE,,NA,7,24,24
6,6,0,NA,9/8/09,NA,NA,FR 4404288035,9/8/09,TRUE,2,FALSE,,NA,NA,24,24
7,7,0,NA,10/10/09,NA,NA,FR 4404288040,10/10/09,TRUE,2,FALSE,,NA,NA,27,27
196,7,1,NA,1/20/12,1/27/12,NA,FR 4404288040,10/10/09,TRUE,2,FALSE,,NA,7,27,27
197,7,2,NA,1/18/13,1/25/13,NA,FR 4404288040,10/10/09,TRUE,2,FALSE,,NA,7,27,27
198,7,3,NA,12/20/13,12/27/13,NA,FR 4404288040,10/10/09,TRUE,2,FALSE,,NA,7,27,27
199,7,4,NA,11/24/14,12/1/14,NA,FR 4404288040,10/10/09,TRUE,2,FALSE,,NA,7,27,27
200,7,5,12/2/16,2/20/16,2/27/16,NA,FR 4404288040,10/10/09,TRUE,2,FALSE,,286,7,27,27
485,7,6,3/11/17,2/8/17,NA,NA,FR 4404288040,10/10/09,TRUE,2,FALSE,,31,NA,27,27
201,8,1,NA,9/22/12,9/29/12,NA,FR 4404288045,12/26/09,TRUE,2,FALSE,,NA,7,32,32
202,8,2,NA,7/29/14,8/5/14,NA,FR 4404288045,12/26/09,TRUE,2,FALSE,,NA,7,32,32
203,8,3,5/4/17,2/2/16,2/9/16,,FR 4404288045,12/26/09,TRUE,2,FALSE,,457,7,32,32
8,8,0,NA,12/26/09,NA,NA,FR 4404288045,12/26/09,TRUE,2,FALSE,,NA,NA,32,32
9,9,0,NA,2/15/10,NA,NA,FR 4404288050,2/15/10,TRUE,2,FALSE,,NA,NA,30,30
204,9,1,NA,8/30/12,9/6/12,NA,FR 4404288050,2/15/10,TRUE,2,FALSE,,NA,7,30,30
205,9,2,NA,8/26/13,9/2/13,NA,FR 4404288050,2/15/10,TRUE,2,FALSE,,NA,7,30,30
206,9,3,NA,8/30/14,9/6/14,NA,FR 4404288050,2/15/10,TRUE,2,FALSE,,NA,7,30,30
207,9,4,11/12/16,12/26/15,1/2/16,NA,FR 4404288050,2/15/10,TRUE,2,FALSE,,322,7,30,30
474,9,5,10/11/17,1/10/17,1/15/17,,FR 4404288050,2/15/10,TRUE,2,FALSE,,274,5,30,30
672,9,6,4/2/18,1/10/18,1/14/18,Mort,FR 4404288050,2/15/10,TRUE,2,FALSE,,82,4,30,30
208,10,1,NA,6/24/12,7/1/12,NA,FR 4404288059,5/31/10,TRUE,2,FALSE,,NA,7,24,24
209,10,2,NA,8/18/13,8/25/13,NA,FR 4404288059,5/31/10,TRUE,2,FALSE,,NA,7,24,24
210,10,3,NA,10/3/14,10/10/14,NA,FR 4404288059,5/31/10,TRUE,2,FALSE,,NA,7,24,24
211,10,4,NA,11/15/15,11/22/15,NA,FR 4404288059,5/31/10,TRUE,2,FALSE,,NA,7,24,24
