AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
803,2,2,2024-03-27 00:00:00.000,2285,NULL,2024-04-03 07:36:00.000,2024-03-27 00:00:00.000,2024-09-19 00:00:00.000,176,7370.776699,43.135795,1188.446588,2808.155309,1619.708721,4.448644,3.259604,2024-09-19 00:00:00.000,NULL,FR 4404288505
804,1,1,2023-05-24 00:00:00.000,2093,,2023-05-31 20:11:00.000,2023-05-26 00:00:00.000,2024-02-12 00:00:00.000,262,8261.844660,32.479770,650.873773,2031.262103,1380.388330,4.372030,3.333409,2024-02-12 00:00:00.000,NULL,FR 4404288506
808,1,1,2023-07-02 00:00:00.000,2107,NULL,2023-07-13 19:07:00.000,2023-07-03 00:00:00.000,2023-09-13 00:00:00.000,72,2173.592233,31.094444,719.611638,1453.980558,734.368920,4.557123,3.429452,2023-09-13 00:00:00.000,NULL,FR 4404288507
818,1,1,2023-10-13 00:00:00.000,2186,NULL,2023-10-20 14:33:00.000,2023-10-14 00:00:00.000,2023-10-27 00:00:00.000,13,196.407766,15.561538,196.407760,0.000000,-196.407760,4.918571,3.606428,2023-10-27 00:00:00.000,NULL,FR 4404288509
825,1,1,2023-08-13 00:00:00.000,2132,+ orbeseal,2023-08-20 13:02:00.000,2023-08-14 00:00:00.000,2024-05-30 00:00:00.000,290,11461.941747,40.709655,851.844643,2490.485407,1638.640764,3.612371,3.249656,2024-05-30 00:00:00.000,57,FR 4404288511
825,2,2,2024-07-25 00:00:00.000,2328,NULL,2024-08-01 22:45:00.000,2024-07-26 00:00:00.000,2024-09-19 00:00:00.000,55,2729.611650,51.118181,1273.203870,1456.407753,183.203883,3.067500,3.247321,2024-09-19 00:00:00.000,NULL,FR 4404288511
828,1,1,2023-09-15 00:00:00.000,2169,+ ORBESEAL,2023-09-22 22:01:00.000,2023-09-16 00:00:00.000,2024-09-01 00:00:00.000,351,11035.436893,32.383190,693.106784,1960.873757,1267.766973,4.663352,3.537755,2024-09-01 00:00:00.000,NULL,FR 4404288512
829,1,1,2023-07-21 00:00:00.000,2118,NULL,2023-07-28 18:51:00.000,2023-07-21 00:00:00.000,2023-07-22 00:00:00.000,1,13.980582,14.400000,13.980582,0.000000,-13.980582,7.820000,4.750000,2023-07-22 00:00:00.000,NULL,FR 4404288513
839,1,1,2023-09-09 00:00:00.000,2165,NULL,2023-09-17 10:31:00.000,2023-09-11 00:00:00.000,2023-10-31 00:00:00.000,50,1558.446601,32.104000,728.932023,829.514551,100.582528,3.685882,3.678039,2023-10-31 00:00:00.000,NULL,FR 4404288514
840,1,1,2023-09-12 00:00:00.000,2167,+ ORBESEAL,2023-09-20 08:38:00.000,2023-09-13 00:00:00.000,2024-04-12 00:00:00.000,212,6480.873786,31.487264,666.699015,2029.417446,1362.718431,4.497417,3.525258,2024-04-12 00:00:00.000,NULL,FR 4404288516
841,1,1,2023-08-30 00:00:00.000,2149,+ ORBESEAL,2023-09-07 01:28:00.000,2023-09-01 00:00:00.000,2024-08-03 00:00:00.000,337,11078.349514,33.859643,785.922315,1945.533950,1159.611635,4.403639,3.456538,2024-08-03 00:00:00.000,NULL,FR 4404288515
843,1,1,2023-08-31 00:00:00.000,2151,+ ORBESEAL,2023-09-07 16:42:00.000,2023-09-01 00:00:00.000,2024-07-19 00:00:00.000,322,11269.805825,36.049378,693.009694,2010.194146,1317.184452,4.667708,3.406377,2024-07-19 00:00:00.000,56,FR 4404288517
