AniId,AniLifeNumber,LastMilkingDate,MviWeight
29,FR 4404288100,2020-02-17 15:39:01.000,923
48,FR 4404288128,2022-01-28 19:46:05.000,951
61,FR 4404288142,2018-04-12 19:12:37.000,640
77,FR 4404288159,2019-06-01 20:00:00.000,662
92,FR 4404288175,2021-12-01 04:24:29.000,826
116,FR 4912264927,2018-01-12 09:44:12.000,681
152,FR 4404288216,2018-06-15 11:18:33.000,556
157,FR 4404288221,2023-04-14 12:44:59.000,870
183,FR 4404288255,2020-01-23 16:42:06.000,855
216,FR 4404288263,2021-05-17 08:43:30.000,809
226,FR 4404288273,2022-03-25 13:55:35.000,616
307,FR 4404288339,2023-12-20 08:51:06.000,393
325,FR 4404288355,2022-02-15 05:50:39.000,661
336,FR 4404288363,2023-09-04 18:00:30.000,780
380,FR 4404288401,2024-09-18 19:40:39.000,327
612,FR 4404288445,2024-04-12 10:08:48.000,427
675,FR 4954409920,2024-08-02 07:25:43.000,499
708,FR 4404288466,2024-09-19 06:16:34.000,698
784,FR 4404288497,2024-09-19 03:47:40.000,619
897,FR 4404288543,2024-09-18 11:05:43.000,338
950,FR 44042808567,2024-09-19 01:37:22.000,172
952,FR 44042808568,2024-05-30 19:01:42.000,310
954,FR 44042808569,2024-09-18 23:27:17.000,568
956,FR 44042808570,2024-09-18 18:03:06.000,275
53,FR 4404288133,2019-07-29 09:05:27.000,666
74,FR 4404288156,2018-11-22 09:52:52.000,658
109,FR 4404288193,2021-08-09 07:21:22.000,622
118,FR 4945368325,2019-02-28 10:24:57.000,629
140,FR 4404288203,2022-05-07 12:32:16.000,535
213,FR 4404288261,2024-04-19 09:05:26.000,422
247,FR 4404288294,2022-08-26 18:28:22.000,887
316,FR 4404288348,2024-09-18 18:07:43.000,324
322,FR 4404288352,2024-09-19 04:41:19.000,663
601,FR 4404288442,2024-09-19 03:00:01.000,378
676,FR 4954409906,2024-09-18 11:25:59.000,450
701,FR 4404288462,2023-06-06 12:59:50.000,547
736,FR 4404288481,2023-09-29 18:37:58.000,673
740,FR 4404288482,2024-04-12 10:17:35.000,425
828,FR 4404288512,2024-09-01 12:14:27.000,804
887,FR 4404288540,2024-09-19 02:54:47.000,681
888,FR 4404288541,2024-04-12 10:53:40.000,317
896,FR 4404288542,2024-09-19 06:56:32.000,674
3,FR 4404288019,2020-06-23 12:25:23.000,747
21,FR 4404288083,2017-08-25 08:24:25.000,599
23,FR 4404288088,2019-08-24 23:28:02.000,785
38,FR 4404288112,2017-10-11 07:50:11.000,499
43,FR 4404288121,2018-10-02 09:31:06.000,793
52,FR 4404288132,2019-12-02 01:42:57.000,863
55,FR 4404288136,2021-08-11 07:59:02.000,613
57,FR 4404288138,2018-01-12 10:04:35.000,632
75,FR 4404288157,2019-05-14 09:37:51.000,579
78,FR 4404288161,2022-01-04 10:21:27.000,1261
86,FR 4404288169,2019-02-28 10:45:21.000,712
89,FR 4404288172,2017-05-12 09:57:19.000,572
91,FR 4404288174,2021-11-02 08:42:56.000,693
93,FR 4404288176,2017-09-30 04:21:11.000,548
111,FR 4404658938,2019-05-17 20:32:26.000,759
121,FR 4950954270,2017-02-01 07:23:11.000,708
134,FR 4404288197,2021-02-24 09:09:48.000,795
137,FR 4404288200,2019-09-19 08:57:47.000,592
144,FR 4404288207,2019-08-29 22:57:44.000,606
154,FR 4404288218,2020-08-05 01:08:18.000,834
160,FR 4404288225,2022-10-05 17:46:49.000,1198
168,FR 4404288234,2021-06-04 09:50:48.000,1069
172,FR 4944526073,2022-09-02 09:39:42.000,721
197,FR 4404288258,2021-02-20 06:43:02.000,890
222,FR 4404288269,2021-03-18 11:27:25.000,766
231,FR 4404288282,2019-07-05 10:49:49.000,692
232,FR 4404288283,2023-10-27 16:54:40.000,562
261,FR 4404288303,2021-04-10 08:47:19.000,738
265,FR 4404288306,2024-09-18 19:31:47.000,366
283,FR 4404288319,2021-01-19 23:23:03.000,851
299,FR 4404288331,2020-11-23 08:00:04.000,849
300,FR 4404288332,2022-05-08 18:28:05.000,490
312,FR 4404288344,2024-08-02 15:24:07.000,336
341,FR 4401572223,2023-06-09 12:08:35.000,599
361,FR 4404288384,2022-11-14 16:43:42.000,964
369,FR 4404288390,2023-08-18 08:56:38.000,555
374,FR 4404288395,2024-09-19 02:27:30.000,350
385,FR 4404288406,2024-09-19 04:15:03.000,745
