year,month,date,volume_delivered_L,volume_a,volume_b,revenue,lely_production_L,difference,monthly_diff_ratio,Notes
2024,August,8/31/24,"91,476",NA,NA,"43,698.90","100,754","9,278",0.907912751,
2024,July,7/31/24,"116,336",NA,NA,"55,576.59","115,747",-589,1.005084554,
2024,June,6/30/24,"121,916",NA,NA,"57,461.05","126,070","4,154",0.96705303,
2024,May,5/31/24,"124,111",NA,NA,"59,408.49","133,034","8,923",0.932927057,
2024,April,4/30/24,"123,732",NA,NA,"59,776.11","129,333","5,601",0.956691679,
2024,March,3/31/24,"132,427",NA,NA,"64,110.73","133,707","1,280",0.990424024,
2024,February,2/29/24,"113,859",NA,NA,"54,960.47","123,823","9,964",0.919530946,
2024,January,1/31/24,"121,920",NA,NA,"59,884.82","124,408","2,488",0.980000063,
2023,December,12/31/23,"106,651",NA,NA,"52,258.96","115,499","8,848",0.923394595,
2023,November,11/30/23,"103,908",NA,NA,"51,406.53","108,331","4,423",0.959173405,
2023,October,10/31/23,"106,394",NA,NA,"50,122.70","107,716","1,322",0.987729478,
2023,September,9/30/23,"94,815",NA,NA,"45,175.72","98,777","3,962",0.959888599,
2023,August,8/31/23,"104,870",NA,NA,"50,319.27","112,364","7,494",0.933302171,
2023,July,7/31/23,"116,964",NA,NA,"55,507.51","118,704","1,740",0.985341045,
2023,June,6/30/23,"108,908",NA,NA,"50,797.54","111,880","2,972",0.973437514,
2023,May,5/31/23,"116,245","116,245",0,"56,172.17","123,963","7,718",0.93773721,
2023,April,4/30/23,"120,109","120,109",0,"58,986.33","124,402","4,293",0.965491361,
2023,March,3/31/23,"132,271",0,"113,374","72,522.02","132,889",618,0.995349284,
2023,February,2/28/23,"114,451",0,"114,451","64,304.14","119,582","5,131",0.957091894,
2023,January,1/31/23,"112,212","100,668","11,544","58,686.04","121,251","9,039",0.925451642,
2022,December,12/31/22,"107,932","107,932",0,"54,133.73","110,029","2,097",0.980937666,
2022,November,11/30/22,"95,364","95,864",0,"49,436.60","100,059","4,695",0.953077407,
