"","AniId","AniLifeNumber","AniActive","AniGenId","AniBirthday","AniMotherLifeNumber","entry_code","entry_date","exit_code","exit_date"
"1",200,"",TRUE,1,2016-11-13,"FR4404288127","N",2016-11-13,NA,NA
"2",239,"",FALSE,2,2017-06-19,"FR4404288098","N",2017-06-19,NA,NA
"3",240,"",FALSE,2,2017-06-19,"FR4404288098","N",2017-06-19,NA,NA
"4",249,"",FALSE,2,2017-08-11,"FR4404288207","N",2017-08-11,NA,NA
"5",263,"",FALSE,2,2011-07-15,"","N",2011-07-15,NA,NA
"6",270,"",FALSE,1,2017-09-24,"FR4958880507","N",2017-09-24,NA,NA
"7",281,"",FALSE,2,2017-11-05,"FR4958880509","N",2017-11-05,NA,NA
"8",287,"",FALSE,2,2017-12-03,"FR4404288169","N",2017-12-03,NA,NA
"9",313,"",FALSE,1,2018-06-24,"FR4404288019","N",2018-06-24,NA,NA
"10",321,"",FALSE,2,2018-08-13,"FR4935590346","N",2018-08-13,NA,NA
"11",329,"",FALSE,2,2018-09-14,"FR4404288199","N",2018-09-14,NA,NA
"12",365,"",FALSE,2,2019-02-22,"FR4404288213","N",2019-02-22,NA,NA
"13",392,"",FALSE,2,2019-08-24,"FR4454691592","N",2019-08-24,NA,NA
"14",658,"",FALSE,2,2020-06-11,"FR4404288243","N",2020-06-11,NA,NA
"15",686,"",FALSE,2,2016-07-24,"FR4401572140",NA,NA,NA,NA
"16",698,"",FALSE,2,2016-08-25,"FR4401572089",NA,NA,NA,NA
"17",699,"",FALSE,2,2016-08-26,"FR4401572111",NA,NA,NA,NA
"18",751,"",FALSE,2,2016-07-22,"FR4401572120",NA,NA,NA,NA
"19",759,"",FALSE,2,2013-02-14,NA,"N",2013-02-14,NA,NA
"20",760,"",FALSE,2,2014-03-30,NA,"N",2014-03-30,NA,NA
"21",1082,"",TRUE,2,2024-03-30,"FR4404288540","N",2024-03-30,NA,NA
"22",16,"FR4404288078",FALSE,2,2011-06-05,"","N",2011-06-05,"B",2016-12-26
"23",187,"FR4404288078",FALSE,2,2011-06-05,"","N",2011-06-05,"B",2016-12-26
"24",22,"FR4404288087",FALSE,2,2011-09-24,"","N",2011-09-24,"B",2016-12-26
"25",188,"FR4404288087",FALSE,2,2011-09-24,"","N",2011-09-24,"B",2016-12-26
"26",28,"FR4404288099",FALSE,2,2012-02-08,"","N",2012-02-08,"B",2016-12-26
"27",189,"FR4404288099",FALSE,2,2012-02-08,"","N",2012-02-08,"B",2016-12-26
"28",34,"FR4404288108",FALSE,2,2012-06-21,"","N",2012-06-21,"B",2016-12-26
"29",190,"FR4404288108",FALSE,2,2012-06-21,"","N",2012-06-21,"B",2016-12-26
"30",39,"FR4404288114",FALSE,2,2012-09-13,"","N",2012-09-13,"B",2016-12-26
"31",191,"FR4404288114",FALSE,2,2012-09-13,"","N",2012-09-13,"B",2016-12-26
"32",45,"FR4404288123",FALSE,2,2012-10-15,"","N",2012-10-15,"B",2016-12-26
"33",192,"FR4404288123",FALSE,2,2012-10-15,"","N",2012-10-15,"B",2016-12-26
"34",60,"FR4404288141",FALSE,2,2013-10-29,"","N",2013-10-29,"B",2021-12-28
"35",193,"FR4404288141",FALSE,2,2013-10-29,"FR4404288081","N",2013-10-29,"B",2021-12-28
"36",241,"FR4404288289",FALSE,2,2017-06-26,"FR4950954269","N",2017-06-26,NA,NA
"37",242,"FR4404288289",FALSE,2,2017-06-26,"FR4950954269","N",2017-06-26,NA,NA
"38",253,"FR4404288299",FALSE,2,2017-08-12,"FR4945368325","N",2017-08-12,"E",2019-12-31
"39",257,"FR4404288299",FALSE,2,2017-08-15,"FR4404288202","N",2017-08-15,"E",2019-12-31
"40",254,"FR4404288300",FALSE,2,2017-08-15,"FR4404288205","N",2017-08-15,"B",2021-03-22
"41",255,"FR4404288300",FALSE,2,2017-08-20,"FR4404288205","N",2017-08-20,"B",2021-03-22
"42",260,"FR4404288300",FALSE,2,2017-08-20,"FR4404288205","N",2017-08-20,"B",2021-03-22
"43",256,"FR4404288301",FALSE,2,2017-08-21,"FR4404288204","N",2017-08-21,"M",2017-11-10
"44",258,"FR4404288301",FALSE,2,2017-08-21,"FR4404288204","N",2017-08-21,"M",2017-11-10
"45",267,"FR4404288308",FALSE,2,2017-09-17,"FR4404288203","N",2017-09-17,"E",2020-11-18
"46",277,"FR4404288308",FALSE,2,2017-10-21,"FR4404288080","N",2017-10-21,"E",2020-11-18
"47",282,"FR4404288318",FALSE,2,2017-11-13,"FR4404288156","N",2017-11-13,NA,NA
"48",289,"FR4404288318",TRUE,2,2017-11-25,"FR4404658982","N",2017-11-25,NA,NA
"49",284,"FR4404288320",FALSE,2,2017-11-25,"FR4404658982","N",2017-11-25,NA,NA
"50",286,"FR4404288320",FALSE,2,2017-12-03,"FR4404288169","N",2017-12-03,NA,NA
"51",285,"FR4404288321",FALSE,2,2017-11-27,"FR4404288215","N",2017-11-27,"E",2020-10-13
"52",288,"FR4404288321",FALSE,2,2017-12-03,"FR4404288214","N",2017-12-03,"E",2020-10-13
"53",395,"FR4404288415",FALSE,2,2019-10-08,"FR4404288300","N",2019-10-08,NA,NA
"54",397,"FR4404288415",FALSE,2,2019-10-20,"FR4404288310","N",2019-10-20,NA,NA
"55",598,"FR4404288440",FALSE,2,2020-02-16,"FR4404288215","N",2020-02-16,NA,NA
"56",599,"FR4404288440",TRUE,2,2020-02-16,"FR4404288225","N",2020-02-16,NA,NA
"57",975,"FR4404288587",FALSE,2,2022-10-31,"FR4404288415","N",2022-10-31,NA,NA
"58",1067,"FR4404288587",FALSE,2,2022-10-31,"","N",2022-10-31,NA,NA
"59",1068,"FR4404288587",TRUE,2,2022-10-31,"FR4404288415","N",2022-10-31,NA,NA
