AniLifeNumber,Month,monthly_milk_yield_L
NULL,NULL,NULL
FR 4404288102,2016-10,504.854368
FR 4404288122,2016-10,355.533980
FR 4404288098,2016-10,549.902912
FR 4404288081,2016-10,493.106796
FR 4404288028,2016-10,369.029126
FR 4956691421,2016-10,383.883495
FR 4404288111,2016-10,509.514563
FR 4404288069,2016-10,512.524271
FR 4963097404,2016-10,661.262135
FR 4404288139,2016-10,423.203883
FR 4404288140,2016-10,405.145631
FR 4404288088,2016-10,595.922330
FR 4912264927,2016-10,371.650485
FR 4404288083,2016-10,500.485436
FR 4404288153,2016-10,318.155339
FR 4404288156,2016-10,399.029126
FR 4404288142,2016-10,259.805825
FR 4404288137,2016-10,321.844660
FR 4945368325,2016-10,365.631067
FR 4404288162,2016-10,406.213592
FR 4958880363,2016-10,404.563106
FR 4404288155,2016-10,463.980582
FR 4404288100,2016-10,504.466019
FR 4947438444,2016-10,198.640776
FR 4404288151,2016-10,354.077669
FR 4954667338,2016-10,354.660194
FR 4404288150,2016-10,434.271844
FR 4404288169,2016-10,55.242718
FR 4404288109,2016-10,584.271844
FR 4404288164,2016-10,440.582524
FR 4404288132,2016-10,454.271844
FR 4404288121,2016-10,645.145631
FR 4404288149,2016-10,416.019417
FR 4404288146,2016-10,366.601941
FR 4404288128,2016-10,353.689320
FR 4404288040,2016-10,328.155339
FR 4404288136,2016-10,249.902912
FR 4404288154,2016-10,398.932038
FR 4454691592,2016-10,505.728155
FR 4404288101,2016-10,260.000000
FR 4404658938,2016-10,456.893203
FR 4404288115,2016-10,360.291262
FR 4404288075,2016-10,590.776699
FR 4404288126,2016-10,569.805825
FR 4404288106,2016-10,426.699029
FR 4404288143,2016-10,419.223300
FR 4404288129,2016-10,173.398058
FR 4404288134,2016-10,226.310679
FR 4404288120,2016-10,319.514563
FR 4950954270,2016-10,367.961165
FR 4404288138,2016-10,428.932038
FR 4404288116,2016-10,84.271844
FR 4404288159,2016-10,84.951456
FR 4404288158,2016-10,434.271844
FR 4404288145,2016-10,398.349514
FR 4404288157,2016-10,416.504854
FR 4404288050,2016-10,387.572815
FR 4404288131,2016-10,208.446601
FR 4404288130,2016-10,577.572815
FR 4950954269,2016-10,505.145631
FR 4404288094,2016-10,435.631067
FR 4404658920,2016-10,509.902912
FR 4404288110,2016-10,503.300970
FR 4947438454,2016-10,216.019417
FR 4404288045,2016-10,424.368932
FR 4404288019,2016-10,354.660194
FR 4404288063,2016-10,581.262135
FR 4935590346,2016-10,295.242718
FR 4404288133,2016-10,218.446601
FR 4958880362,2016-10,470.388349
FR 4404288161,2016-10,388.543689
FR 4968695856,2016-10,379.029126
FR 4912264927,2016-11,842.718446
FR 4958880363,2016-11,863.883495
FR 4404288130,2016-11,1163.203883
FR 4404288075,2016-11,1191.553398
FR 4404288155,2016-11,1010.776699
FR 4404288159,2016-11,709.320388
FR 4404658938,2016-11,1002.330097
FR 4404288045,2016-11,850.679611
FR 4404288154,2016-11,857.184466
FR 4404288138,2016-11,1389.417475
FR 4404288069,2016-11,1052.038834
FR 4404288100,2016-11,1077.475728
FR 4404288019,2016-11,780.097087
FR 4404288083,2016-11,966.990291
FR 4404288156,2016-11,843.495145
FR 4404288146,2016-11,806.699029
FR 4404288040,2016-11,840.485436
FR 4404288153,2016-11,692.912621
FR 4404288102,2016-11,1024.951456
FR 4404288128,2016-11,888.640776
FR 4404288143,2016-11,976.310679
FR 4404288088,2016-11,1263.009708
FR 4404659023,2016-11,58.543689
FR 4404288110,2016-11,1046.990291
FR 4404288149,2016-11,951.262135
FR 4404288127,2016-11,473.786407
FR 4404288150,2016-11,927.864077
FR 4404288126,2016-11,1234.271844
FR 4935590346,2016-11,542.427184
FR 4404288029,2016-11,760.388349
FR 4404288145,2016-11,853.980582
FR 4404288115,2016-11,760.194174
FR 4404659034,2016-11,129.708737
FR 4404288098,2016-11,1184.563106
FR 4947438454,2016-11,155.922330
FR 4956691421,2016-11,759.223300
FR 4404288157,2016-11,952.330097
FR 4404288068,2016-11,319.223300
FR 4947438444,2016-11,356.019417
FR 4404288111,2016-11,1209.514563
FR 4404288129,2016-11,607.961165
FR 4404288151,2016-11,775.242718
FR 4950954269,2016-11,1092.038834
FR 4404288082,2016-11,4.466019
FR 4404288162,2016-11,946.116504
FR 4404288140,2016-11,707.864077
FR 4963097404,2016-11,1392.815533
FR 4404288080,2016-11,956.699029
FR 4945368325,2016-11,777.766990
FR 4404288094,2016-11,1005.242718
FR 4404288121,2016-11,1325.048543
FR 4404288101,2016-11,1340.485436
FR 4404288133,2016-11,497.572815
FR 4404288158,2016-11,934.563106
FR 4404288131,2016-11,391.262135
FR 4404288142,2016-11,475.339805
FR 4404288136,2016-11,124.757281
FR 4958880362,2016-11,960.873786
FR 4404658920,2016-11,1098.737864
FR 4404288122,2016-11,834.077669
FR 4404288164,2016-11,1101.844660
FR 4404288132,2016-11,885.825242
FR 4404288137,2016-11,156.796116
FR 4404288161,2016-11,794.368932
FR 4404288081,2016-11,1026.116504
FR 4404288109,2016-11,1184.660194
FR 4954667338,2016-11,770.679611
FR 4404288028,2016-11,821.844660
FR 4404288050,2016-11,334.466019
FR 4404288063,2016-11,1239.514563
FR 4968695856,2016-11,833.592233
FR 4950954270,2016-11,724.174757
FR 4454691592,2016-11,1162.233009
FR 4404288139,2016-11,832.135922
FR 4404288106,2016-11,839.805825
FR 4404288169,2016-11,968.058252
FR 4963097404,2016-12,1313.009708
FR 4404288130,2016-12,1061.650485
FR 4404288128,2016-12,932.427184
FR 4404288150,2016-12,905.728155
FR 4404288127,2016-12,1235.048543
FR 4404288134,2016-12,103.009708
FR 4404288081,2016-12,953.009708
FR 4404288175,2016-12,308.155339
FR 4404288040,2016-12,56.116504
FR 4950954269,2016-12,1034.466019
FR 4404288168,2016-12,1035.922330
FR 4404659034,2016-12,811.165048
FR 4404288082,2016-12,942.912621
FR 4404659023,2016-12,1012.233009
FR 4404288110,2016-12,992.135922
FR 4404288158,2016-12,907.184466
FR 4404288133,2016-12,31.553398
FR 4404288097,2016-12,784.951456
FR 4404288029,2016-12,595.436893
FR 4404658938,2016-12,982.621359
FR 4404288083,2016-12,942.038834
FR 4404288111,2016-12,1086.213592
FR 4404288131,2016-12,23.398058
FR 4404288180,2016-12,404.368932
FR 4404288063,2016-12,1086.407766
FR 4404288141,2016-12,777.281553
FR 4404288120,2016-12,260.873786
FR 4956691421,2016-12,683.980582
FR 4404288138,2016-12,1372.912621
FR 4404288116,2016-12,276.407766
FR 4404288177,2016-12,63.689320
FR 4404288155,2016-12,1080.776699
FR 4404288169,2016-12,1154.077669
FR 4404288157,2016-12,912.815533
FR 4404288176,2016-12,798.640776
FR 4404288153,2016-12,697.766990
FR 4958880363,2016-12,778.446601
FR 4404288126,2016-12,1209.223300
FR 4912264927,2016-12,790.679611
FR 4404288145,2016-12,774.757281
FR 4454691593,2016-12,1138.640776
FR 4404288073,2016-12,301.165048
FR 4404288146,2016-12,783.980582
FR 4404288094,2016-12,996.893203
FR 4947438444,2016-12,21.262135
FR 4454691592,2016-12,1166.019417
FR 4404288139,2016-12,788.932038
FR 4404288101,2016-12,1471.067961
FR 4950954270,2016-12,726.407766
FR 4404288136,2016-12,131.456310
FR 4404288154,2016-12,868.058252
FR 4404288161,2016-12,769.029126
FR 4968695856,2016-12,773.786407
FR 4404288098,2016-12,1214.077669
FR 4404288106,2016-12,640.970873
FR 4404288109,2016-12,1156.990291
FR 4404288019,2016-12,858.543689
FR 4945368325,2016-12,736.990291
FR 4935590346,2016-12,232.524271
FR 4404288149,2016-12,835.631067
FR 4404288132,2016-12,787.864077
FR 4404288112,2016-12,504.854368
FR 4404288162,2016-12,940.000000
FR 4404288069,2016-12,1048.834951
FR 4404658982,2016-12,598.446601
FR 4404288140,2016-12,696.699029
FR 4404288174,2016-12,295.922330
FR 4404288156,2016-12,867.184466
FR 4404288121,2016-12,1276.990291
FR 4404288122,2016-12,890.388349
FR 4404288167,2016-12,494.563106
FR 4404288028,2016-12,801.553398
FR 4404288151,2016-12,779.029126
FR 4404288129,2016-12,613.300970
FR 4404288137,2016-12,269.029126
FR 4404288115,2016-12,42.524271
FR 4404288100,2016-12,1130.970873
FR 4404288185,2016-12,655.436893
FR 4404288102,2016-12,1000.873786
FR 4404288105,2016-12,541.844660
FR 4404288045,2016-12,733.980582
FR 4404288159,2016-12,856.213592
FR 4954667338,2016-12,623.786407
FR 4404288164,2016-12,1152.718446
FR 4404288088,2016-12,1174.466019
FR 4404288068,2016-12,1499.126213
FR 4404288080,2016-12,1211.165048
FR 4958880362,2016-12,909.514563
FR 4404288143,2016-12,980.582524
FR 4404658920,2016-12,1107.087378
FR 4404288142,2016-12,219.126213
FR 4404288163,2016-12,804.271844
FR 4404288075,2016-12,1139.417475
FR 4404288146,2017-01,679.708737
FR 4404288129,2017-01,527.669902
FR 4404288165,2017-01,542.038834
FR 4404288120,2017-01,1468.446601
FR 4404288185,2017-01,879.805825
FR 4404658920,2017-01,1025.242718
FR 4404288154,2017-01,803.203883
FR 4404288068,2017-01,1424.757281
FR 4404288153,2017-01,579.029126
FR 4404288158,2017-01,864.466019
FR 4404288105,2017-01,1367.184466
