AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,still_milking,AniLifeNumber
803,1,1,2023-05-03 00:00:00.000,2086,+ ORBESEAL,2023-05-10 07:35:00.000,2023-05-04 00:00:00.000,2024-01-26 00:00:00.000,267,7881.3,4.843544,3.389477,2024-01-26 00:00:00.000,61,0,FR 4404288505
804,1,1,2023-05-24 00:00:00.000,2093,,2023-05-31 20:11:00.000,2023-05-26 00:00:00.000,2024-02-12 00:00:00.000,262,8509.7,4.372030,3.333409,2024-02-12 00:00:00.000,NULL,1,FR 4404288506
808,1,1,2023-07-02 00:00:00.000,2107,NULL,2023-07-13 19:07:00.000,2023-07-03 00:00:00.000,2023-09-13 00:00:00.000,72,2238.8,4.557123,3.429452,2023-09-13 00:00:00.000,NULL,1,FR 4404288507
818,1,1,2023-10-13 00:00:00.000,2186,NULL,2023-10-20 14:33:00.000,2023-10-14 00:00:00.000,2023-10-27 00:00:00.000,13,202.3,4.918571,3.606428,2023-10-27 00:00:00.000,NULL,1,FR 4404288509
825,1,1,2023-08-13 00:00:00.000,2132,+ orbeseal,2023-08-20 13:02:00.000,2023-08-14 00:00:00.000,2024-05-30 00:00:00.000,290,11805.8,3.612371,3.249656,2024-05-30 00:00:00.000,57,0,FR 4404288511
825,2,2,2024-07-25 00:00:00.000,2328,NULL,2024-08-01 22:45:00.000,2024-07-26 00:00:00.000,2024-09-19 00:00:00.000,55,2811.5,3.067500,3.247321,2024-09-19 00:00:00.000,NULL,1,FR 4404288511
828,1,1,2023-09-15 00:00:00.000,2169,+ ORBESEAL,2023-09-22 22:01:00.000,2023-09-16 00:00:00.000,2024-09-01 00:00:00.000,351,11366.5,4.663352,3.537755,2024-09-01 00:00:00.000,NULL,1,FR 4404288512
829,1,1,2023-07-21 00:00:00.000,2118,NULL,2023-07-28 18:51:00.000,2023-07-21 00:00:00.000,2023-07-22 00:00:00.000,1,14.4,7.820000,4.750000,2023-07-22 00:00:00.000,NULL,1,FR 4404288513
839,1,1,2023-09-09 00:00:00.000,2165,NULL,2023-09-17 10:31:00.000,2023-09-11 00:00:00.000,2023-10-31 00:00:00.000,50,1605.2,3.685882,3.678039,2023-10-31 00:00:00.000,NULL,1,FR 4404288514
840,1,1,2023-09-12 00:00:00.000,2167,+ ORBESEAL,2023-09-20 08:38:00.000,2023-09-13 00:00:00.000,2024-04-12 00:00:00.000,212,6675.3,4.497417,3.525258,2024-04-12 00:00:00.000,NULL,1,FR 4404288516
